Detroit Rock City,4DmBwHmp0FVO6NJ9QfH2w2,318.2,51,0,0,4,0.0871,0.466,0.922,0.000838,0.69,-7.847,0.157,0.201,91.122
King Of The Night Time World,3gsoInre1B3i1PJUmhvDYH,199.0,38,11,1,4,0.0238,0.404,0.958,0.00137,0.334,-4.483,0.108,0.176,137.771
God Of Thunder,2CJ9wTckMqRjjVVSLTs8QZ,253.84,50,11,1,4,0.272,0.414,0.878,0.000332,0.456,-6.157,0.0378,0.438,99.804
Great Expectations,1hKrF3jis35rUsuLXw6yWj,264.8,33,3,1,4,0.535,0.489,0.675,7.56e-06,0.165,-7.474,0.0359,0.386,114.535
Flaming Youth,0BrD1dIqDRCGcOxLVJQfZ8,178.933,41,6,1,4,0.109,0.557,0.862,2.11e-06,0.0529,-7.892,0.0582,0.655,129.719
Sweet Pain,3sb0xLwjjEjKaS7a80cWbq,200.453,33,11,1,4,0.0441,0.422,0.877,0.0,0.414,-7.748,0.0934,0.501,131.64
Shout It Out Loud,3qyHjQ1zTLvPeA99CP3K9N,169.026,49,3,1,4,0.124,0.571,0.953,5.57e-06,0.35,-5.002,0.0568,0.682,135.599
Beth,1cPXOzyeZauSAsT1yy7aBp,165.666,61,0,1,4,0.878,0.387,0.238,0.000715,0.194,-13.496,0.0339,0.279,115.354
Do You Love Me,6KbSviXtYJuPG3FbTvJZSI,213.0,45,3,1,4,0.0623,0.457,0.915,3.48e-06,0.0778,-5.876,0.0808,0.446,126.695
Rock And Roll Party,35bcmlIsxL5R8LNpwLSQOS,85.333,30,3,0,5,0.951,0.174,0.43,0.936,0.93,-25.17,0.0515,0.0242,91.827
