Dig Me Out,1YdCuoPvDDVyHa3YomPb1B,160.919,40,9,1,4,0.000101,0.34,0.95,0.0166,0.116,-5.041,0.065,0.487,158.423
One More Hour,1WtpkJyC5UNqE4dC3iHplB,199.693,39,9,1,4,0.00341,0.364,0.904,1.9e-05,0.153,-4.168,0.0451,0.73,139.887
Turn It On,53274hl7rQOfVdNbgHfr2T,167.96,27,1,1,4,0.000454,0.44,0.891,2.12e-06,0.115,-4.313,0.0463,0.812,145.905
The Drama You've Been Craving,06Nbj4rQP2vhvThjTMdhmf,128.12,23,6,1,4,0.000117,0.394,0.931,0.000121,0.0541,-4.903,0.0685,0.732,170.948
Heart Factory,2AhyAGrosXvOApXgBg3Mfr,234.786,23,8,0,4,0.00621,0.391,0.844,0.0593,0.102,-5.737,0.0402,0.394,124.029
Words and Guitar,7b6wCOUbe9nugBfiTrekTH,141.386,25,1,1,4,0.044,0.332,0.904,6.84e-06,0.227,-3.456,0.152,0.627,161.19
It's Enough,2YrahvVhpLUjpbJCv4Xie8,106.6,21,8,0,4,0.00238,0.273,0.957,2.36e-05,0.0872,-3.513,0.0578,0.923,163.292
Little Babies,4U9Va0fTTbMdN80z2NZFDL,143.026,25,9,1,4,0.105,0.472,0.855,0.0,0.115,-3.741,0.0513,0.766,146.585
Not What You Want,0mRF9dwZFp1XuNXjPnYFB7,197.346,22,11,0,4,6.56e-05,0.208,0.907,0.000201,0.0547,-3.654,0.0723,0.763,191.573
Buy Her Candy,0d1OG9uYeTyxDRxyliVy1u,122.893,23,6,1,4,0.815,0.32,0.453,0.000575,0.134,-7.617,0.0303,0.234,69.442
Things You Say,3QpMxCsA201fnZs48psDyP,176.906,20,9,1,4,2.11e-05,0.379,0.883,0.000365,0.123,-5.736,0.0493,0.553,139.03
Dance Song '97,5Z6N7vLFzlV5lZalyOrOy8,169.893,24,1,0,4,0.00163,0.582,0.911,4.09e-05,0.112,-5.449,0.0378,0.92,154.914
Jenny,0ZK76zYORhdGKEOkJzB8sO,245.12,21,6,1,4,0.0523,0.27,0.943,0.0123,0.0957,-4.226,0.0566,0.363,186.582
