Strange Brew,47bXIv24jthL4vzZy3j7CY,166.28,54,2,1,4,0.47,0.603,0.563,1.04e-05,0.29,-9.932,0.0283,0.642,106.431
Sunshine Of Your Love,2K2M0TcglCRLLpFOzKeFZA,250.4,72,2,1,4,0.385,0.683,0.594,8.61e-05,0.121,-8.289,0.0347,0.734,115.099
World Of Pain,6OWonlTNJpRwNRI6IYDY0a,182.453,39,2,1,4,0.253,0.425,0.407,0.00164,0.187,-12.532,0.0291,0.61,106.92
Dance The Night Away,5qlENYSq7eJmRXsP6bKBKY,213.706,35,9,0,4,0.00254,0.331,0.768,0.00465,0.0696,-7.272,0.0439,0.56,128.041
Blue Condition,7ppEe541TTltrmGoQO5N4n,209.72,33,0,1,4,0.581,0.501,0.264,0.00141,0.0898,-12.065,0.0285,0.599,79.719
Tales Of Brave Ulysses,0GxV3poTM7Z7fKSUqy5qFw,166.453,50,0,0,4,0.0178,0.538,0.476,4.26e-05,0.101,-9.215,0.049,0.188,105.642
SWLABR,2JbS4ZDBIUcXavA9mfb2nC,151.68,41,4,0,4,0.272,0.549,0.599,1.11e-06,0.147,-6.786,0.0454,0.835,124.22
We're Going Wrong,7L7a1ihdWngFm31RRzCILL,206.76,33,4,0,3,0.656,0.35,0.278,0.0492,0.429,-13.707,0.0333,0.137,132.032
Outside Woman Blues,3oaSvU9VBBmyfPA4lbibQM,144.84,39,9,1,4,0.389,0.636,0.589,0.000211,0.379,-8.196,0.0387,0.959,113.403
Take It Back,5IQM177Sfne942S70RnzOx,183.893,33,2,1,4,0.0248,0.586,0.627,0.0,0.0911,-8.788,0.0442,0.686,121.739
Mother's Lament,21IffoeNGwo8edRUW2simZ,106.52,29,7,1,4,0.832,0.531,0.242,0.0,0.099,-12.801,0.219,0.631,88.992
Lawdy Mama - Version 2,4EGdDpcIBOIgxYIje18EHW,167.226,30,2,1,4,0.212,0.336,0.496,0.000118,0.0749,-13.45,0.0763,0.747,210.758
Blue Condition - previously unreleased alternate version w/ Eric Clapton lead vocal (stereo),05NBtRqHoS3GpWilL6qzr5,188.96,24,9,1,3,0.695,0.384,0.201,0.00746,0.0882,-16.448,0.0354,0.673,176.198
We're Going Wrong - Demo Version,625eIPKmYbxIKdQWHQoLCt,229.32,23,4,0,3,0.0792,0.355,0.623,0.417,0.198,-13.568,0.0434,0.342,157.232
Hey Now Princess - Demo Version,61sepu8bH9sx3sAnf8aP75,211.013,23,0,1,4,0.00118,0.422,0.823,0.0411,0.515,-12.238,0.0583,0.398,145.321
Swlabr - Demo Version,2J9eys1qJfPiUzRDwD6Hi6,270.4,22,4,0,4,0.046,0.574,0.661,0.0216,0.0964,-11.943,0.0668,0.628,122.91
Weird Of Hermiston - Demo Version,2u2vgLIvnpwG1KIxNPa5SF,192.266,29,0,1,4,0.165,0.795,0.319,0.0003,0.107,-13.761,0.107,0.725,120.994
The Clearout - Demo Version,3JfrTpsCT1ytTnLyippbKF,235.773,22,8,1,4,0.00485,0.428,0.65,0.79,0.0866,-14.213,0.19,0.354,135.645
Strange Brew - Mono version,5JuWW30txLevVRyPIeNIkV,168.333,24,7,1,4,0.0427,0.67,0.605,0.000583,0.248,-12.241,0.0338,0.7,106.015
Sunshine Of Your Love - Mono version,3lqH83SHgGSddfZcM4Nrh9,251.386,25,2,1,4,0.101,0.712,0.649,0.00304,0.122,-11.134,0.0368,0.876,115.317
World Of Pain - Mono version,54haIVAlCM67L2C2ziRSRr,186.066,20,2,1,4,0.088,0.454,0.399,0.0747,0.202,-15.701,0.0277,0.647,106.809
Dance The Night Away - Mono version,1b7QEDHR9CkHK4pWjsWfft,213.626,19,9,0,4,0.000224,0.397,0.577,0.457,0.0802,-13.089,0.0337,0.688,128.352
Blue Condition - Mono version,4we1B4jcvmpIQ7kQ4QSGLf,208.04,18,0,1,3,0.333,0.367,0.258,0.389,0.0822,-15.677,0.0348,0.615,159.03
Tales Of Brave Ulysses - Mono version,6E89mN8O524t5luvli3sbk,170.44,25,2,1,4,0.0144,0.489,0.714,0.00762,0.0732,-11.213,0.0512,0.291,105.943
