Burnout,7dVDWf0wud70V4PgYfKnaG,127.533,59,6,1,4,0.000165,0.5,0.921,0.00118,0.0959,-5.261,0.0355,0.891,90.861
Having a Blast,0eUJzAGs9OKSOmLVpsng7e,164.666,55,1,1,4,0.00181,0.449,0.938,0.0,0.353,-6.36,0.0455,0.825,89.695
Chump,1Cq8IdsiaMiieYuLN8iEm0,174.04,55,10,1,4,0.00023,0.221,0.887,0.177,0.159,-8.396,0.0537,0.638,173.569
Longview,3LRJbFT9rKoKv4aW7PuBJC,233.24,67,10,0,4,0.00834,0.381,0.732,0.0101,0.0854,-7.594,0.0536,0.814,142.504
Welcome to Paradise,5kr3j5Clb9rjEposoMyLVt,224.133,68,3,0,4,0.000241,0.37,0.96,0.0116,0.0563,-4.162,0.0378,0.717,89.428
Pulling Teeth,5z2XqieaqxpCJc3ntZ6Ye3,150.826,52,3,1,4,0.00171,0.531,0.872,0.0863,0.109,-5.064,0.0492,0.877,128.211
Basket Case,6L89mwZXSOwYl76YXfX13s,181.533,79,3,1,4,0.00293,0.442,0.943,8.71e-06,0.091,-3.205,0.0602,0.781,85.064
She,4wsQGsdf8D0Bj26cGdvreB,134.293,63,1,0,4,7.37e-05,0.37,0.937,0.00817,0.0904,-3.939,0.0356,0.874,93.307
Sassafras Roots,4oqF9y2thGJh7hFd1hqItt,157.626,54,8,1,4,5.03e-05,0.172,0.97,0.00479,0.257,-5.104,0.0409,0.881,182.451
When I Come Around,1Dr1fXbc2IxaK1Mu8P8Khz,178.0,75,11,1,4,0.0175,0.531,0.909,0.0,0.231,-4.236,0.034,0.814,97.546
Coming Clean,435j8ueVosOip0Vjm3vvj5,94.893,55,10,1,4,0.000138,0.338,0.992,0.000228,0.214,-4.907,0.073,0.681,171.552
Emenius Sleepus,1gPwAnimmoEt2y3LXa9ysx,103.973,50,10,1,4,0.000109,0.199,0.975,0.0,0.23,-5.609,0.0559,0.758,177.442
In the End,4GSyhhe5HHAytp7KlmWlZX,106.4,50,1,1,4,5.75e-05,0.323,0.951,1.78e-06,0.233,-5.844,0.0442,0.772,139.54
F.O.D.,409hGnupGUeqjzpv4Ycs3g,170.759,54,1,1,4,0.0341,0.404,0.322,2.31e-05,0.123,-10.904,0.0582,0.776,82.2
All by Myself,0fatcDJuNxjxA9tuBsQkrm,100.172,47,9,1,4,0.258,0.677,0.269,0.0823,0.139,-16.898,0.0583,0.557,117.009
