Debaser,3FzKPS0oVknVlCW3PhxIHl,173.173,64,5,1,4,0.000397,0.487,0.885,0.347,0.0973,-12.005,0.0427,0.579,135.516
Tame,1H93izDjXIF30mAMC7UagB,115.693,49,0,1,4,0.00141,0.562,0.56,0.762,0.28,-13.551,0.0724,0.919,137.475
Wave of Mutilation,1yJiE307EBIzOB9kqH1deb,124.773,55,10,1,4,0.000272,0.59,0.77,0.411,0.0811,-12.147,0.0346,0.737,132.613
I Bleed,4azCKNOIuNsCB98BSRBR2B,154.8,50,11,0,4,0.000421,0.487,0.518,0.0251,0.11,-13.004,0.036,0.762,170.845
Here Comes Your Man,0cs671lxX2eoDzr2KMuo3N,201.693,69,2,1,4,0.0475,0.669,0.783,0.0296,0.115,-12.302,0.0295,0.896,124.518
Dead,5fAUch0HNiHxqLEc6a1t68,141.373,45,2,1,4,0.00291,0.733,0.721,0.814,0.182,-12.948,0.0324,0.837,120.494
Monkey Gone to Heaven,1lFC3sMgOcDrVzNh8zXRnl,177.466,63,6,0,4,0.0167,0.652,0.388,0.00076,0.32,-12.029,0.0302,0.595,116.433
Mr. Grieves,0QboItjXFMSeHpAIgvVnz3,125.8,48,11,1,3,0.0372,0.53,0.467,0.00309,0.12,-14.41,0.0693,0.665,112.602
Crackity Jones,1yuwn054ErrOWqjjk51ldD,84.226,45,9,1,4,0.0095,0.308,0.941,0.165,0.112,-10.243,0.131,0.37,148.276
La La Love You,3vY7cKuKNY1oAsyVVn7AQz,163.64,51,2,1,4,0.00089,0.702,0.653,0.178,0.11,-12.885,0.0376,0.597,124.498
No 13 Baby,18PzY59cKHgu78CUYcUVAz,231.626,45,0,1,4,0.00289,0.688,0.634,0.0112,0.0375,-13.822,0.0407,0.302,122.466
There Goes My Gun,0VAD8GUGL68sQcOdiHIjTU,109.533,44,11,0,3,0.0122,0.572,0.843,0.742,0.0992,-12.046,0.0458,0.717,126.32
Hey,2Aqc48sn8He26hmTvQ2BMj,211.44,68,7,1,4,0.000877,0.59,0.317,0.000867,0.0745,-15.014,0.0307,0.33,99.81
Silver,2ofiwvmGa6QHUV8X46vEd6,145.266,43,11,0,3,0.00108,0.555,0.284,0.13,0.111,-15.655,0.0273,0.398,88.307
Gouge Away,1YZDkJOFT8xlAXDi8lneb3,165.066,58,4,1,4,0.00164,0.661,0.407,0.0241,0.0987,-14.111,0.0334,0.497,125.644
