D.'s Car Jam / Anxious Mo-Fo,7uZoHcTmsCn73ed2NedThJ,80.066,32,9,1,4,0.244,0.63,0.801,0.174,0.342,-11.681,0.0819,0.76,115.609
Theatre Is the Life of You,7l5kOMmACRRDCz2fmGTCtV,90.893,31,7,1,4,0.00143,0.481,0.918,0.175,0.0934,-10.21,0.195,0.73,122.303
Viet Nam,21vp1orbqySVyww9ngW44w,89.666,49,2,1,4,0.0128,0.716,0.877,0.000918,0.114,-9.299,0.281,0.956,160.513
Cohesion,51NHmSOPGDM5zGVooMEDRm,116.933,46,7,1,4,0.931,0.387,0.196,0.874,0.11,-22.884,0.0414,0.372,95.946
It's Expected I'm Gone,3bbVPVAL3ulmu3kNGJ9EDF,125.0,32,7,1,4,0.0122,0.617,0.688,0.0173,0.0629,-10.82,0.13,0.269,86.769
#1 Hit Song,60nriFcKARUpnYksJkDqJR,109.066,35,4,1,4,0.0144,0.576,0.82,0.739,0.2,-9.387,0.113,0.445,91.208
Two Beads at the End,51MMeFinCcfpGEn8fUga0M,113.173,30,2,1,4,0.000284,0.622,0.671,0.327,0.173,-10.599,0.0437,0.966,134.813
Do You Want New Wave or Do You Want the Truth,5anmC2NmiEOlfp5ahKxKia,110.96,29,2,1,4,0.328,0.339,0.2,0.789,0.135,-19.169,0.0353,0.502,148.602
Don't Look Now,2xUVQylqgrbkwUnRQyutKG,107.373,27,10,0,4,0.842,0.462,0.396,0.000369,0.491,-12.447,0.042,0.459,95.039
Shit from an Old Notebook,2z2qTST29C0jxdCGjlqVNE,96.066,29,7,1,4,6.43e-05,0.414,0.903,0.00746,0.0776,-10.392,0.0583,0.727,90.969
Nature Without Man,6nT02nLUsL3Xc1LRPzlHsQ,106.893,28,4,0,3,0.000386,0.47,0.679,0.00879,0.256,-11.096,0.0414,0.907,111.588
One Reporters Opinion,60UJ75pY9YaL7qpT2KKT3h,111.506,27,4,1,4,0.000485,0.42,0.702,0.15,0.265,-10.939,0.0489,0.822,133.515
Political Song for Michael Jackson to Sing,2hPOhalhnij5ei9Y3VBgBQ,91.133,28,1,1,4,0.171,0.538,0.895,0.000601,0.115,-8.629,0.161,0.74,171.858
Maybe Partying Will Help,3aXYVBh5xgdHwRbkVrYf5T,116.426,28,9,1,4,0.0145,0.59,0.833,0.527,0.0613,-9.976,0.0983,0.574,134.864
Toadies,3rlBU6SOIIDpK9UIItQvWA,98.24,27,4,1,4,0.181,0.655,0.55,0.414,0.0937,-14.122,0.263,0.569,145.507
Retreat,3W73708ULWFAdR5mtUaJYT,120.533,26,0,1,3,0.00106,0.656,0.348,0.619,0.112,-13.631,0.127,0.971,140.687
The Big Foist,1lLn8bE7aM5TSjYI1mQheE,90.866,26,5,1,4,0.000521,0.612,0.694,0.198,0.0946,-11.847,0.0613,0.821,101.587
God Bows to Math,5LkBMcncPetiP8za7XdAGy,76.4,25,9,0,4,0.00232,0.671,0.742,0.0452,0.119,-13.418,0.107,0.246,116.247
Corona,2LUVo82IKIpCuBNSaqF0G8,145.533,51,7,1,4,6.59e-05,0.47,0.913,0.267,0.222,-10.196,0.0343,0.977,130.425
The Glory of Man,7fwuT8n8FPJGseqr38zJtE,177.56,40,4,1,4,0.000483,0.541,0.736,0.767,0.0963,-11.999,0.191,0.931,172.687
"Take 5, D.",2yDjtl4TU5z77W2MfL3ejK,99.84,25,9,1,4,0.146,0.422,0.369,0.0484,0.1,-17.138,0.047,0.641,125.783
My Heart and the Real World,0A2C5eJzfGGnDtwRqby1LD,66.333,26,9,1,4,0.0947,0.587,0.598,0.000358,0.0669,-9.46,0.384,0.939,183.301
History Lesson Part 2,45fq6kIQtooot7WVRsXAum,132.133,35,0,1,4,0.348,0.683,0.241,0.522,0.085,-16.192,0.0475,0.727,121.213
You Need the Glory,2D3KQnbneZ1WI02xDal8iN,123.133,24,4,1,4,0.887,0.634,0.311,0.588,0.159,-18.59,0.0511,0.88,130.238
The Roar of the Masses Could Be Farts,74PzFTj0YKQhtESkU5VrfF,81.026,25,4,1,4,0.067,0.484,0.851,0.000115,0.327,-8.783,0.193,0.801,157.425
West Germany,3R6jsQgcGKwYHTYHtoTmU8,109.173,26,2,1,4,0.0142,0.565,0.782,0.0215,0.0644,-8.77,0.117,0.892,157.691
The Politics of Time,4X2cqABozX3BgzS7G4TmUN,72.626,24,7,1,4,0.00356,0.541,0.638,0.134,0.112,-11.84,0.0623,0.675,90.95
Themselves,0jwiakOoVQkolSUVTnehVs,78.266,24,11,1,4,0.0108,0.564,0.624,0.0355,0.107,-10.157,0.0509,0.965,131.747
Please Don't Be Gentle with Me,3aAW52pqLhpZwZQqZocRFU,47.906,23,11,0,4,0.439,0.61,0.924,0.178,0.284,-8.32,0.14,0.387,107.75
Nothing Indeed,5y41sQIB4ukaYycIvNO0Pp,82.293,24,1,0,4,0.00147,0.55,0.877,0.0371,0.0822,-10.552,0.0658,0.874,144.923
No Exchange,4V83QW8mavnEKyjAhcVp20,111.573,23,7,1,4,0.182,0.575,0.815,0.216,0.0547,-12.015,0.107,0.464,156.336
There Ain't Shit on T.V. Tonight,64H5mnCQXLDzxTlzuisN73,94.76,24,0,1,4,0.129,0.792,0.403,0.0975,0.093,-14.103,0.0635,0.376,126.126
This Ain't No Picnic,3Yu5i8Jwq2anl6mMcKTRge,117.733,27,4,0,4,0.00387,0.446,0.847,0.0,0.153,-9.58,0.22,0.586,155.748
Spillage,0aocsnZlGirqzJSbisPa15,113.733,23,2,1,4,0.0072,0.776,0.608,0.00783,0.125,-11.52,0.094,0.927,105.657
Untitled Song for Latin America,624TuCJS0AmQEpaDUNkAnm,123.6,23,4,0,4,0.0189,0.503,0.88,0.389,0.0541,-9.882,0.072,0.651,91.669
Jesus and Tequila,1zWKWdQLKZhAON3ZjxlOnf,173.466,26,2,1,4,0.195,0.637,0.731,0.000316,0.366,-10.241,0.0572,0.735,80.72
June 16th,3sglxsW7n68vK0G8140SA1,109.2,22,0,1,4,0.00607,0.812,0.329,0.93,0.0666,-12.454,0.0961,0.491,120.067
Storm in My House,5nGWMBcoKyI31X1bAkEwXJ,119.173,22,6,0,4,0.0282,0.328,0.771,0.0596,0.123,-9.697,0.0671,0.834,142.907
Martin's Story,2SvYlUac45Z5gFRdJSjMNz,52.893,21,9,1,4,0.0889,0.682,0.915,0.00957,0.492,-10.252,0.0531,0.835,117.325
Dr. Wu,4GqCCrm096KlucWDhXiGYN,105.64,24,10,1,4,0.0201,0.54,0.78,0.00125,0.155,-10.61,0.06,0.906,146.055
The World According to Nouns,07GDrCg4yZe0hmksXD3nRh,127.066,22,9,1,4,0.0362,0.408,0.344,0.512,0.113,-12.082,0.0437,0.208,137.88
Love Dance,3FEgOe4ms9sIpxmCSqeF9d,122.626,22,2,1,4,0.0864,0.64,0.692,0.911,0.273,-10.201,0.113,0.928,103.631
Three Car Jam,1PfIUKoQPM0aHlqSpyR8j3,38.506,20,7,1,3,0.0484,0.23,0.29,0.0625,0.476,-16.927,0.0745,0.0,85.89
