Skid Row,5aL73MPEZMCTRrND6yBVQs,106.866,20,7,1,4,0.434,0.489,0.754,0.000148,0.154,-9.066,0.045,0.89,76.416
Sing A Sad Song,0FBY3qrYxm42fZWzxx0dbe,154.412,18,0,1,4,0.139,0.396,0.316,0.00299,0.119,-10.941,0.0282,0.472,93.587
You Don't Even Try,4O1y66a9HtJMjyi3TMMrI4,137.666,16,7,1,4,0.0153,0.463,0.392,0.0512,0.208,-10.932,0.029,0.66,103.271
Sam Hill,3JTOB7ylHV4NnOW3M8XLPG,153.066,19,5,1,4,0.168,0.708,0.355,0.0,0.158,-13.763,0.0331,0.617,98.564
(My Friends Are Gonna Be) Strangers,24s4cBJpDCDyCzVEZ12Ins,150.2,19,5,1,4,0.54,0.71,0.436,0.00269,0.34,-11.072,0.0273,0.91,126.724
Just Between The Two Of Us,3XsRA5uM1DwVnmaBMPsuSA,164.773,17,0,1,4,0.531,0.676,0.332,4.23e-06,0.153,-10.132,0.0287,0.668,112.735
If I Had Left It Up To You,7w1OcvLhpUhqfblODRLRsz,144.533,15,0,1,4,0.406,0.729,0.462,0.000145,0.324,-12.688,0.0416,0.716,113.213
I'm Gonna Break Every Heart I Can,0PZCGR88MUBkhbyF7Byzcj,120.333,17,3,1,4,0.55,0.657,0.593,0.0,0.127,-10.254,0.0649,0.907,159.142
Swinging Doors,0BnYGvZHswZp2Rr5xLPCFG,173.426,21,7,1,4,0.464,0.737,0.435,3.08e-05,0.0936,-12.29,0.0357,0.66,120.544
The Bottle Let Me Down,1IoblMED1GAnd4IbFmOxr4,168.866,23,9,1,4,0.493,0.68,0.39,0.00876,0.122,-10.731,0.0315,0.695,125.84
High On A Hilltop,0NaXkFyBpjurizxsfrr6AN,179.24,19,11,1,3,0.581,0.619,0.306,0.0,0.0938,-10.58,0.027,0.439,88.403
I'll Look Over You,4VSI7eKvqh0ykql51Uo1vQ,130.426,15,2,1,4,0.675,0.653,0.419,0.0,0.116,-9.646,0.0329,0.606,109.038
The Fugitive,6lJ9rTbacYs2JMeRNNYDAn,178.666,24,6,1,4,0.507,0.745,0.359,7.72e-06,0.0616,-13.386,0.0303,0.758,127.169
House Of Memories,54jRgaIfvw8nvFOYFBcjkg,167.866,17,2,1,4,0.832,0.442,0.232,1.42e-06,0.0945,-11.584,0.0259,0.37,88.714
All Of Me Belongs To You,3ASlzfxHEyPsX4VLFfVzsl,161.066,15,0,1,4,0.645,0.631,0.571,4.6e-06,0.24,-10.157,0.0352,0.836,78.313
Mary's Mine,6bqQgQ27lxg1v7ZWqnmBPl,177.906,15,0,1,4,0.676,0.565,0.241,9.55e-06,0.376,-12.919,0.028,0.478,105.932
Someone Told My Story,3i1B5gDGC8cDzHlveNfrjD,153.733,16,9,1,4,0.695,0.631,0.396,2.65e-06,0.258,-11.597,0.0298,0.644,130.172
Go Home,7GuHemjwVP5oplKgRHuzfd,155.426,15,7,1,3,0.402,0.714,0.34,3.34e-06,0.23,-11.336,0.0317,0.456,78.949
Whatever Happened To Me,21FLnZ4OVxfzOEWEJMvv37,178.266,15,5,1,4,0.574,0.654,0.288,9.86e-05,0.349,-12.371,0.0309,0.472,90.18
Loneliness Is Eating Me Alive,1jP1G9cGluz9bqocCg59LR,155.573,15,4,1,4,0.47,0.622,0.24,0.0,0.157,-14.608,0.0282,0.458,84.215
I Threw Away The Rose,06CB9dfCNVmwIsEOrmsLOw,201.893,16,8,1,4,0.516,0.48,0.216,0.000351,0.364,-12.309,0.0326,0.346,101.941
Branded Man,1iurFf8SradyoIBOOY1Ho5,187.466,20,7,1,4,0.298,0.666,0.448,0.0,0.0804,-11.365,0.0318,0.482,120.957
