Iko Iko,1vhlVbHnbKJPD7pqCC0cE7,248.56,47,2,1,4,0.557,0.637,0.794,8.18e-05,0.344,-10.153,0.0431,0.97,165.428
Blow Wind Blow,6DmrBNnzWCxAqg7dVk8SML,194.506,24,10,1,4,0.654,0.528,0.527,0.0497,0.0706,-15.048,0.0312,0.8,96.205
Big Chief,5QepcFT1p5DRzhtL0Bv3ix,206.16,39,8,1,4,0.636,0.744,0.481,0.00709,0.0912,-16.24,0.0479,0.968,113.107
Somebody Changed the Lock,6EHPkHkLS80uk7GZT4g6sY,165.906,24,10,1,4,0.538,0.616,0.534,0.0113,0.26,-11.132,0.0501,0.645,94.032
Mess Around,2R21arNkBDa9eSm1LJ2RGk,193.96,24,8,1,4,0.387,0.589,0.848,0.022,0.153,-10.197,0.0681,0.893,131.507
Let the Good Times Roll,40ETT4qj43sjkUKElApc0K,235.573,29,9,1,4,0.268,0.591,0.448,0.0183,0.0236,-11.921,0.0613,0.963,97.968
Junko Partner,6d1irliH1b7P2cBAaPqc4g,272.066,28,2,0,4,0.311,0.663,0.587,0.0096,0.07,-10.187,0.0726,0.953,147.62
Stack-A-Lee,4sKfTcskxZBNTILQ5jrMfl,209.066,32,7,1,4,0.255,0.7,0.535,0.395,0.137,-11.97,0.05,0.654,119.46
Tipitina,5bkLurqPBpM0Yu8F05PkDJ,129.493,23,5,1,4,0.978,0.503,0.36,0.318,0.115,-11.693,0.0283,0.712,97.197
Those Lonely Lonely Nights,1a76PU0ULPvpcod9aHpYwc,152.44,21,3,1,3,0.369,0.518,0.365,0.0139,0.0857,-12.742,0.0362,0.887,107.67
"Huey ""Piano"" Smith Medley",589G8AI1Xj4wnWBDldZmxc,200.266,21,8,1,4,0.385,0.667,0.44,0.0008,0.108,-11.938,0.0423,0.818,101.576
Little Liza Jane,1oP9pbFHavJsgjutmnifqp,180.226,21,5,0,4,0.162,0.556,0.756,0.00544,0.0672,-12.713,0.0403,0.967,164.48
