Just a Little Lovin',7zpS4UzyAsNGxWz0AyRP3b,138.933,28,5,0,3,0.666,0.354,0.366,0.0,0.167,-10.799,0.0345,0.585,111.057
So Much Love,4PVhVyr6yFooyyfaHSA3B7,211.306,21,2,1,4,0.087,0.381,0.483,4.92e-06,0.183,-9.183,0.0284,0.422,90.522
Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,149.16,62,4,1,4,0.394,0.401,0.498,0.0,0.13,-10.682,0.0757,0.816,181.701
I Don't Want to Hear It Anymore,6cXz1ntQbcwrCBu6my2kZy,191.2,20,5,1,4,0.566,0.357,0.296,0.0,0.21,-13.167,0.0335,0.311,82.2
Don't Forget About Me,7IGpCCRB7MO3z4xUgKAjOn,172.973,17,2,1,4,0.454,0.548,0.466,0.0,0.177,-8.894,0.028,0.646,127.496
Breakfast in Bed,5bsVqbCNaiHlGZRAlP0aK5,177.96,30,10,1,4,0.591,0.371,0.421,1.18e-06,0.0767,-12.079,0.0276,0.363,79.7
Just One Smile,46o9VJzXa8u3JeEzV0TfV1,162.706,15,10,0,4,0.423,0.389,0.421,0.0,0.16,-10.013,0.0361,0.407,89.063
The Windmills of Your Mind,6MUHAvKGAmKXojn8wdFB71,231.466,34,0,0,4,0.51,0.281,0.276,0.0,0.135,-11.752,0.038,0.238,154.097
In the Land of Make Believe,5cRLeWnjKA8kfQ01WsOH06,152.066,16,7,1,4,0.713,0.49,0.241,0.0,0.0363,-14.616,0.0303,0.511,110.959
No Easy Way Down,6CAkmqFlO5S3o0QDUuzcYr,191.826,25,7,1,3,0.415,0.36,0.439,0.0,0.0792,-10.607,0.0304,0.458,138.351
I Can't Make It Alone,4R1X22ge1UQkaGXV7TZOKx,237.706,14,2,1,4,0.37,0.359,0.498,1.18e-06,0.0679,-8.571,0.0324,0.325,85.569
What Do You Do When Love Dies,6ubBcVcBs1yEyERek9BWW3,162.426,12,8,1,4,0.485,0.446,0.448,0.0,0.303,-7.335,0.0333,0.584,135.14
Willie & Laura Mae Jones,4AE3dRLSuWT4t1cWy5RkHc,169.84,14,0,1,4,0.567,0.572,0.691,0.0,0.505,-7.619,0.123,0.751,86.124
That Old Sweet Roll (Hi-De-Ho),1FJgHdWjvo5zeBdFhBPzh0,179.733,12,4,1,4,0.7,0.547,0.569,0.0,0.59,-7.557,0.0509,0.705,108.081
Cherished,33aoEXdg3hwMx381Zaz6dn,158.466,11,5,1,4,0.754,0.616,0.494,0.00198,0.0964,-7.751,0.0422,0.852,117.088
Goodbye,1O7an6GdUrgkD9bbXOFrAe,153.96,11,5,0,4,0.631,0.635,0.52,0.00608,0.0908,-9.246,0.036,0.859,85.779
Make It with You,2wdtxSMYwP8UB7fU2RgJmh,192.973,13,10,1,4,0.597,0.461,0.372,0.000594,0.0931,-12.761,0.0341,0.61,81.271
Love Shine Down,5PaKE0ZfmVjqX7INuOi0l6,142.026,11,9,1,4,0.586,0.378,0.561,0.000757,0.427,-8.835,0.0468,0.359,140.296
Live Here with You,28KkAfuknglTTJ7hOPqdRd,164.106,11,5,1,4,0.68,0.491,0.298,0.0,0.0917,-15.74,0.0404,0.616,105.149
Natchez Trace,3lstV5iyVHuOJ8c8RsbRcs,178.0,11,5,0,4,0.357,0.641,0.699,0.0253,0.06,-8.334,0.0359,0.909,83.035
All the King's Horses,2C8hfNURizjCLy3EQpQJWp,190.16,10,2,1,4,0.489,0.695,0.47,0.094,0.237,-9.389,0.0309,0.636,130.576
I'll Be Faithful - Stereo Version,0fvoBiiAk8LzKUf7XVm0En,181.4,10,9,1,4,0.781,0.628,0.563,0.000627,0.229,-9.812,0.0358,0.832,146.546
Have a Good Life Baby,13QLKIM8x9Bg5TpmtPmU3g,189.573,10,6,1,4,0.619,0.644,0.433,0.000428,0.0534,-11.73,0.0253,0.748,94.986
You've Got a Friend - Previously unissued Version,7D2aLJqGT9PT1qZ03weP4v,328.426,12,9,1,4,0.748,0.515,0.437,0.000114,0.0195,-10.025,0.0257,0.543,83.459
I Found My Way,1wyT8osuQiQnYjQcBb2Pvs,192.066,11,8,1,4,0.39,0.312,0.476,0.0427,0.129,-9.824,0.0584,0.476,57.82
