...And the Gods Made Love,4COmeKH1pLNNpXcgtMcyQH,82.626,42,6,1,4,0.339,0.312,0.77,0.271,0.11,-13.991,0.282,0.0298,101.152
Have You Ever Been (To Electric Ladyland),3Yh64aiu2ANBwDFztyPDkT,130.039,50,10,0,4,0.23,0.43,0.498,0.000164,0.113,-9.203,0.0618,0.655,73.104
Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,146.573,60,0,0,4,0.248,0.486,0.963,2.39e-06,0.158,-5.586,0.129,0.533,113.133
Voodoo Chile,0auKlivXpm76wR63mMJ3pR,899.933,50,0,0,3,0.248,0.298,0.753,0.148,0.112,-7.417,0.0894,0.32,164.991
Little Miss Strange,1jhH7vvy8hoHuc0mGuZsLX,172.2,43,8,1,4,0.731,0.46,0.807,4.52e-05,0.0799,-7.237,0.086,0.456,143.001
Long Hot Summer Night,1HFj7yC7uZfqjWuoH6DO9r,207.76,44,7,1,4,0.363,0.465,0.824,0.000398,0.656,-6.668,0.1,0.687,85.218
Come On (Let the Good Times Roll),0KqHJXm4Z42fELkW83ZW0r,249.373,49,11,0,4,0.202,0.41,0.821,0.0367,0.43,-8.557,0.194,0.833,148.665
Gypsy Eyes,1DfWmv1eJU1a9tuGpqKGFP,223.68,48,6,1,4,0.222,0.599,0.622,0.0,0.536,-7.019,0.128,0.907,117.574
Burning of the Midnight Lamp,36SULeBeglappJysOY6WzQ,219.613,47,0,1,4,0.411,0.331,0.845,0.000412,0.124,-7.55,0.0889,0.525,76.698
"Rainy Day, Dream Away",0xwG5stzrc5B70TycPwenY,222.066,44,2,1,4,0.317,0.692,0.672,0.00177,0.39,-8.979,0.282,0.541,108.077
1983...(A Merman I Should Turn to Be),5uDpwSGjljhIgDB1ZYdp9c,819.626,46,1,1,4,0.159,0.357,0.682,0.00609,0.357,-9.207,0.106,0.229,138.258
"Moon, Turn the Tides...Gently Gently Away",3q3gK9I4mj03565IGtVA0d,61.773,39,6,1,0,0.404,0.0,0.391,0.932,0.0603,-20.962,0.0,0.0,0.0
"Still Raining, Still Dreaming",0xKcrFF5ed7U4EPdG6vE4f,265.586,43,2,1,4,0.247,0.364,0.865,0.0209,0.0936,-7.328,0.114,0.554,111.15
House Burning Down,6p5RohbRLDSjeERMZ90hMg,272.84,42,5,0,4,0.693,0.426,0.888,0.00117,0.339,-5.052,0.21,0.541,116.267
All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,240.8,78,8,1,4,0.00255,0.438,0.805,5.69e-05,0.0842,-6.237,0.0624,0.564,113.253
Voodoo Child (Slight Return),2AxCeJ6PSsBYiTckM0HLY7,313.373,68,8,1,4,0.48,0.214,0.91,0.00839,0.0517,-6.662,0.389,0.447,175.561
