Mambo Sun - Remastered,79dQwpXjJ4t3pILysdqFyB,220.96,50,11,1,4,0.0607,0.519,0.613,0.826,0.209,-10.667,0.101,0.731,181.049
Cosmic Dancer - Remastered,5N4vVbNotNwWGG8KcCdstR,270.0,50,0,1,4,0.018,0.37,0.694,0.00365,0.182,-11.713,0.0595,0.651,155.093
Jeepster - Remastered,0v1wsyUb3UplLdgcdTbUEd,252.44,44,11,0,4,0.0491,0.565,0.761,0.00322,0.0442,-9.88,0.0487,0.925,94.893
Monolith - Remastered,7jLYNCaTmEe1OnhYhGtfeC,229.56,40,0,1,4,0.326,0.499,0.559,4.73e-05,0.0826,-10.57,0.0525,0.469,81.763
Lean Woman Blues - Remastered,0ZQL9lpSUIY85D2nQD7XXN,182.44,32,9,1,1,0.0429,0.417,0.75,0.000502,0.331,-9.085,0.116,0.581,114.445
Bang a Gong (Get It On) - Remastered Version,6FsQrRpBLgsrFeAeiQqytm,267.0,63,2,1,4,0.157,0.729,0.818,0.285,0.195,-9.992,0.0732,0.907,125.811
Planet Queen - Remastered,5vqGXUifO0oYEQ2uMTDCp4,193.2,33,4,0,4,0.26,0.636,0.659,0.00184,0.424,-11.306,0.0653,0.966,81.115
Girl - Remastered,3lXF7ZXU3HcxpmWiz3GwCt,152.266,31,9,0,3,0.767,0.597,0.262,0.0,0.295,-12.582,0.0349,0.334,116.599
The Motivator - Remastered,7s0JCFIi0pif9bLnEaEwS7,240.24,32,9,1,4,0.11,0.705,0.559,4.47e-05,0.102,-11.599,0.0906,0.683,127.123
Life's a Gas - Remastered,1MU62iuv0tVWWVkqHcY1tx,144.76,37,7,1,4,0.142,0.611,0.348,4.1e-05,0.0902,-13.426,0.0492,0.8,124.822
Rip Off - Remastered,4mBCNIKC606CpBLzBZ0fdG,221.666,29,0,1,4,0.0273,0.228,0.903,2.48e-06,0.198,-11.358,0.41,0.0809,190.699
There Was a Time,1SJCMQAoLUkXrIkjeE0idA,60.533,28,9,0,3,0.799,0.211,0.223,0.000684,0.237,-16.422,0.0371,0.28,71.083
Raw Ramp,6q8MSz9ZRmLqyZ7oestGxf,254.973,29,11,0,4,0.363,0.627,0.883,4.29e-05,0.0816,-8.416,0.0611,0.496,123.063
Planet Queen,5CuGeM6n3uGfh33S5CnCZ9,179.066,26,4,0,4,0.0792,0.664,0.325,0.000176,0.117,-16.042,0.416,0.848,81.76
Hot Love,7EZw2AXVKWSNq5n7cw94RF,298.093,40,11,0,4,0.117,0.553,0.533,0.346,0.0944,-9.562,0.047,0.514,131.076
Woodland Rock,45QqEFOGMTgu4qi6juWDuR,142.866,26,9,1,4,0.0376,0.48,0.692,0.000185,0.439,-8.625,0.0431,0.925,96.474
King of the Mountain Cometh,6oQD5d4UbTWhxjoueL88SJ,234.066,26,3,0,4,0.492,0.519,0.557,0.00535,0.385,-9.64,0.0362,0.635,90.197
The T. Rex Electric Warrior Interview,6Rp4we9Y2x3IkJomWWT6ab,1173.093,23,8,1,3,0.422,0.562,0.265,0.0,0.451,-22.147,0.947,0.581,70.108
