Águas De Março,15ouqiBsgL12olEwP3COsH,214.366,68,3,1,4,0.865,0.654,0.393,2.97e-06,0.123,-13.392,0.129,0.533,143.801
Pois É,7Frd1uhTyz0d6yIWy45GA5,104.746,38,10,0,4,0.932,0.57,0.101,0.000561,0.106,-17.795,0.0421,0.184,81.303
Só Tinha De Ser Com Você,209ucYTS6vWEV5iydrHiOt,233.544,61,10,1,4,0.687,0.793,0.372,0.573,0.105,-15.491,0.0509,0.482,120.134
Modinha,7w445n1qc0sYZUSyW58UGZ,138.421,36,5,0,5,0.964,0.221,0.0683,0.000198,0.134,-19.749,0.0417,0.0399,146.527
Triste,0PHGV9pWYv91WCeCXhdWye,162.866,55,7,1,4,0.577,0.65,0.322,0.121,0.0712,-16.298,0.122,0.448,136.007
Corcovado,29OG9zJjZgQvFMfGVB09Lt,237.211,43,2,0,4,0.945,0.169,0.134,0.0185,0.0944,-16.454,0.0369,0.114,49.408
O Que Tinha De Ser,20QNNI2hzEo2Fl4TSmzMcQ,103.552,35,2,1,4,0.974,0.448,0.034,2.46e-05,0.119,-18.692,0.0505,0.142,136.281
Retrato Em Branco E Preto,2qT5u5tjgcMoo3kIGehYTg,186.465,40,5,1,3,0.94,0.325,0.176,0.000162,0.131,-11.976,0.0365,0.179,101.302
Brigas Nunca Mais,3SkLW48Xt2knevezFTs0pY,102.733,40,10,1,4,0.69,0.682,0.357,0.00116,0.11,-11.825,0.0753,0.744,157.801
Por Toda A Minha Vida,2yA4Kc2BRxy53ySLFbeTrV,125.788,36,9,1,4,0.97,0.159,0.153,0.00862,0.119,-13.703,0.0364,0.0595,95.327
Fotografia,4O2tMlIxlgRwmNQDElwIq4,169.349,52,0,1,4,0.867,0.509,0.478,0.0291,0.109,-14.575,0.0895,0.302,96.66
Soneto De Separação,6G0tpO4dmJSN2ycxsr09ck,142.831,37,8,1,4,0.882,0.395,0.0774,0.0,0.117,-15.995,0.0416,0.177,112.487
Chovendo Na Roseira,4FwoSbAlyYBm2hsmAb6S7Q,194.109,45,9,0,4,0.733,0.363,0.457,0.00884,0.158,-12.724,0.0778,0.147,49.947
Inútil Paisagem,24oyt2VtQXsUo52ZbcfAtB,186.059,38,8,1,4,0.987,0.443,0.0662,0.0383,0.115,-16.902,0.0355,0.105,70.85
