Come as You Are,5H7j2cTnLcp6VDRJDhmotw,285.885,52,4,0,4,0.889,0.588,0.212,0.0,0.0969,-6.599,0.0348,0.471,81.749
From a Lover's Point of View,7F8xnkgc5Y52nSuHdy0poz,184.5,52,5,1,4,0.89,0.665,0.101,8.58e-06,0.141,-13.281,0.0544,0.394,77.75
Driving,2O6y3D6GV7CVL6QigzCsDe,209.204,48,4,1,4,0.842,0.593,0.068,4.13e-06,0.137,-11.793,0.0513,0.254,99.102
Heading South,41LdW2fxonCTww0FfXC8W3,210.304,46,4,1,4,0.809,0.631,0.38,2.8e-05,0.178,-7.105,0.0656,0.349,97.89
Cold Blooded,5bGkLjzxpifn5T7aYXNDHO,205.273,47,2,1,5,0.857,0.666,0.0836,2.52e-06,0.297,-9.642,0.0352,0.178,101.333
Mine,0XMEXzp3oZ3ykxRDcQAMwJ,178.151,47,3,1,3,0.835,0.549,0.165,3.83e-05,0.125,-12.027,0.0416,0.41,79.854
Leaving,7wd2K48KtRGDyWXmCL7xDz,207.103,52,10,1,4,0.858,0.441,0.181,1.43e-05,0.111,-11.793,0.0522,0.418,203.4
Codeine Pills (Part One),1xipK1Bw8v9T3WGeBktz5b,196.179,52,6,1,4,0.579,0.72,0.309,0.0,0.11,-5.441,0.103,0.346,79.283
Anita (Part Two),4npJ7wVKs9yKvZio9jYfel,223.654,44,11,0,1,0.882,0.477,0.127,0.0,0.242,-10.795,0.0432,0.204,74.109
Hopefully,5aG8vY9PAJfofdXWa5fePz,237.822,45,1,1,4,0.881,0.561,0.175,9.58e-05,0.1,-10.381,0.0429,0.352,83.811
Messed up Kid,6YCAB0AwQmIYbyho6xHvSi,259.971,51,2,1,4,0.771,0.602,0.15,2.11e-05,0.0671,-10.759,0.0394,0.357,138.279
Loom,5DVL8GsLseItnQu2PumawG,163.531,48,3,1,4,0.85,0.617,0.218,0.000252,0.313,-15.13,0.0639,0.526,114.359
Me and Mine,15GzdxbqpClusQzxPOQ883,177.482,46,11,0,4,0.79,0.641,0.275,0.000174,0.178,-10.237,0.0463,0.415,84.456
Old Man,1xuznNe65bwxYbXuhCoCRv,241.788,45,2,1,4,0.718,0.453,0.0972,6.09e-06,0.291,-12.31,0.0355,0.358,84.206
A Boy Like You,7CoziwqOdUfFjbmRHBK9lF,288.374,46,1,1,4,0.854,0.509,0.194,4.41e-05,0.108,-13.634,0.0361,0.162,81.254
Elisabeth,7CirDpWlzVzzV2Nguvwowe,199.649,46,5,1,4,0.854,0.577,0.151,0.0,0.111,-9.879,0.0473,0.397,103.176
Washington Lilacs,3AF1AVm8aaX7bJEKrgvdwt,168.003,45,10,0,4,0.821,0.511,0.27,0.0,0.101,-9.138,0.0296,0.324,76.223
Revival,428Q4VwvnIkSpwog4QdQZg,221.25,54,7,1,4,0.781,0.483,0.367,1.82e-05,0.0951,-9.024,0.0501,0.342,157.872
