Santa Claus Is Back In Town,5b1jXYUOgAX5QAHXPVHdld,142.6,51,3,1,4,0.709,0.419,0.485,8.16e-05,0.11,-11.007,0.0423,0.54,94.74
White Christmas,6CylKS9y5AJtrE9K2vgGnK,163.666,47,2,1,4,0.946,0.491,0.0677,0.0027,0.28,-20.293,0.0446,0.34,94.065
Here Comes Santa Claus (Right Down Santa Claus Lane),7n7VsX3sv66znBwA8b5uhp,115.826,66,2,1,4,0.968,0.575,0.236,0.0178,0.105,-16.982,0.0422,0.829,79.576
I'll Be Home for Christmas,3EfX8yc6nG0fcbaH7BADXM,115.0,47,10,1,4,0.987,0.492,0.0312,0.177,0.129,-19.768,0.0273,0.127,75.468
Blue Christmas,3QiAAp20rPC3dcAtKtMaqQ,129.173,72,4,1,4,0.9,0.465,0.27,0.00104,0.145,-16.661,0.0425,0.58,94.518
Santa Bring My Baby Back (To Me),2hON3z0PTxwx9u4zzEyFRo,113.333,49,0,1,4,0.797,0.618,0.399,0.000524,0.138,-13.504,0.0474,0.961,94.338
O Little Town of Bethlehem,6Ai7PiAjnb4eIiC05By0i4,155.493,60,2,1,5,0.984,0.325,0.0409,0.000585,0.109,-19.102,0.0359,0.212,99.286
Silent Night,6cw1OgKsuEWQbmQb5Z4a3T,145.0,49,10,1,3,0.96,0.269,0.0314,0.0678,0.113,-23.411,0.0351,0.176,135.49
(There'll Be) Peace In the Valley (For Me),7meT2kymrRK8w2lcB894ek,202.173,52,0,1,3,0.949,0.306,0.0334,0.000102,0.281,-19.338,0.0314,0.241,65.148
I Believe,41GSL9lAosGHYXxpfDcOGW,125.826,42,0,1,3,0.901,0.278,0.134,0.000122,0.0946,-16.165,0.0335,0.203,97.93
"Take My Hand, Precious Lord",4BpEHprnHJ5RQ9juPbD95I,198.333,44,7,1,5,0.952,0.251,0.031,0.00502,0.111,-19.81,0.0338,0.188,102.182
It Is No Secret (What God Can Do),1JdKaE79Z3NAp7pNeLIomC,236.44,39,0,1,4,0.962,0.326,0.0353,3.71e-05,0.101,-20.952,0.031,0.184,70.883
