Bring Da Ruckus,1v5cgIyffYtfEx0swttdoE,251.466,63,11,1,4,0.234,0.794,0.627,0.0,0.35,-9.431,0.36,0.518,87.554
Shame On a Nigga,7IwURvEfVcdxUCjLKUu6sv,177.066,60,1,1,4,0.0846,0.889,0.466,7.44e-06,0.384,-10.74,0.36,0.403,100.17
Clan In Da Front,4LaiF2h7gsybmURceGYLqh,273.32,55,6,1,4,0.22,0.707,0.617,0.00018,0.13,-12.519,0.303,0.594,96.051
Wu-Tang: 7th Chamber,5wcY4XgawQ2se8VjDLhedQ,366.306,55,6,1,4,0.428,0.857,0.488,2.82e-06,0.284,-11.457,0.407,0.621,92.102
Can It Be All So Simple / Intermission,1Mi6uegC4pRxQZw1CB5Fk9,413.0,53,7,1,4,0.819,0.677,0.252,1.77e-06,0.234,-17.794,0.555,0.441,91.484
Da Mystery of Chessboxin',4xOTVtbCPcfxMs2hSt9D6i,287.84,60,2,1,4,0.334,0.925,0.388,0.0,0.332,-10.508,0.419,0.359,105.056
Wu-Tang Clan Ain't Nuthing ta F' Wit,24vNw0Z0srb4zYXwrakw8E,216.133,66,10,0,4,0.197,0.826,0.566,0.0,0.356,-10.747,0.31,0.653,99.13
C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,252.186,73,11,0,4,0.57,0.479,0.549,0.0239,0.127,-10.551,0.373,0.576,180.985
Method Man,5XLC8xoqyua4U7wJiZAWik,350.56,60,7,1,4,0.0286,0.903,0.519,0.000907,0.328,-10.109,0.307,0.596,101.561
Protect Ya Neck,1Sgj10byiGzPpI2IrXSFEn,291.066,65,8,0,4,0.032,0.817,0.552,7.17e-06,0.826,-10.8,0.386,0.808,102.011
Tearz,7y5zXpTN4J7K0PngQYa655,257.746,60,8,0,4,0.189,0.914,0.394,0.000168,0.0982,-10.239,0.365,0.427,91.504
Wu-Tang: 7th Chamber - Part II - Conclusion,4mkdUdHTDfnbcie1vSmbCK,370.733,50,11,1,4,0.47,0.875,0.46,3.08e-06,0.507,-8.984,0.454,0.516,92.054
Protect Ya Neck - Shao Lin Version,5UqXzkzU4CyIhaCmWHgS09,278.853,47,8,0,4,0.0174,0.81,0.575,2.56e-06,0.747,-10.524,0.337,0.77,102.021
Method Man - Home Grown Version,1c3zgIrrFkhnavRt20lsqu,310.466,45,6,1,4,0.138,0.9,0.592,8.38e-05,0.335,-8.082,0.332,0.736,101.034
C.R.E.A.M. (Cash Rules Everything Around Me) - A Cappella,61QU5MPwOReHIAfnY4vh54,158.426,42,9,0,1,0.706,0.675,0.659,0.0,0.113,-8.787,0.95,0.172,79.457
