Mã,2EtSgTPy2alTUYJE1d8ajO,236.0,25,10,1,4,0.0563,0.795,0.583,0.531,0.134,-7.366,0.0816,0.965,126.802
A felicidade,1brWhQEoBoT9tMnNfcRsjr,198.933,34,9,0,3,0.349,0.667,0.206,0.00039,0.134,-14.884,0.325,0.408,148.45
Toc - Instrumental,36VLvbN4PxWwIDBpOZXeew,179.826,24,0,1,4,0.549,0.744,0.755,0.793,0.171,-7.152,0.0444,0.367,141.101
Tô,2YXpMdEMEoy48OPr6VTzpI,170.6,48,7,1,4,0.658,0.841,0.574,0.0,0.141,-8.021,0.124,0.895,151.425
Vai (Menina amanhã de manhã),6A7bFw2HCDcINCCQc8YrMb,139.6,29,4,1,4,0.754,0.786,0.416,8.66e-05,0.106,-11.577,0.353,0.789,123.174
Ui (Você inventa),2zaW4sS2teW6rp4auAoj2M,180.96,27,7,1,4,0.587,0.707,0.299,0.000203,0.0764,-9.963,0.077,0.834,84.057
Dói,5KO3Xy1MsRtdpLhUZ8NwQq,213.173,28,2,1,4,0.204,0.458,0.526,1.14e-05,0.0966,-9.056,0.325,0.649,89.24
Mãe (Mãe solteira),3mHYLevKKsnaBDZ4Jde6P1,222.266,25,9,0,4,0.863,0.48,0.287,0.000255,0.104,-12.599,0.0346,0.433,125.549
Hein? (Participação especial de Vicente Barreto),67w6HZKirxdYx3udPoeLJr,222.373,24,9,1,4,0.347,0.805,0.576,5.1e-06,0.271,-6.472,0.133,0.603,112.62
Só (Solidão),1iXlMXGfXskX681BvXmxoe,267.693,33,4,1,4,0.88,0.62,0.303,0.00815,0.189,-15.684,0.0458,0.759,118.072
Se,03RwTvhDzl3vR737tAXfId,150.133,25,4,0,4,0.297,0.863,0.344,0.000839,0.0979,-12.706,0.0445,0.606,126.294
Indice (Participação especial de Osório),544kT8yBzM7uQ8MOjkCx9r,86.173,20,1,1,4,0.919,0.473,0.123,1.98e-05,0.107,-13.034,0.0346,0.224,164.904
Contos de fraldas,1Dk0kPuieJZkH0j0mllAYS,238.926,22,2,1,4,0.582,0.506,0.285,7.09e-05,0.147,-10.942,0.0378,0.869,148.118
"Teu coração bate, o meu apanha",3OA8h4K8S68rAaZStEVLNC,132.866,21,10,1,4,0.937,0.522,0.217,0.000674,0.306,-15.523,0.0392,0.222,122.581
