"6'1"" (Remastered)",7k0ZKj4Wy9Z1OQyje7GF9O,186.666,36,10,1,4,0.000271,0.58,0.882,0.00212,0.128,-3.618,0.03,0.771,132.036
Help Me Mary (Remastered),1p1Y2TNLmpOrddEvFJGNN8,136.266,30,5,1,4,0.00379,0.516,0.794,0.000837,0.157,-4.951,0.027,0.706,140.186
Glory (Remastered),0daCsSSdNgANakSnjVaKYQ,89.866,30,5,1,4,0.928,0.635,0.251,0.0324,0.102,-15.743,0.0328,0.501,142.06
Dance of the Seven Veils (Remastered),3BgMCPtLLmz1poSLbKkQO2,149.64,30,3,1,1,0.591,0.538,0.299,0.0,0.174,-10.889,0.0333,0.637,114.42
Never Said (Remastered),5jdZDi6ihFYZHbuOOBykFl,196.213,40,7,1,4,0.00544,0.503,0.833,0.0171,0.732,-4.956,0.0307,0.566,112.111
Soap Star Joe (Remastered),0EL3vaRhe2xk7A0COSQC1u,164.28,28,8,1,3,0.676,0.436,0.792,0.000354,0.134,-6.592,0.0421,0.79,81.839
Explain It to Me (Remastered),0tEugYIXY3nk9wxEWGPajR,191.813,30,10,0,4,0.367,0.63,0.348,0.0995,0.106,-10.963,0.0295,0.0548,99.387
Canary (Remastered),7fgkEC7i22EeUgNtQf451k,199.64,28,1,1,4,0.985,0.282,0.266,0.989,0.101,-11.507,0.0289,0.0857,95.237
Mesmerizing (Remastered),6gcUlEegDn3ApIIfv9Mwds,235.973,36,0,1,4,0.72,0.57,0.585,0.000186,0.123,-7.102,0.0274,0.41,125.989
Fuck and Run (Remastered),1dEv8KfhvSrwwmIC38uFZ3,187.933,47,2,1,4,0.564,0.774,0.729,0.0157,0.0966,-6.398,0.0331,0.963,136.219
Girls! Girls! Girls! (Remastered),760luZmaRLA2gME3DvCM51,140.28,29,4,1,3,0.437,0.372,0.459,0.895,0.103,-13.303,0.0554,0.61,194.556
Divorce Song (Remastered),5ZUL5ZYqx2ycNYlNVhuaFD,200.093,35,1,1,4,0.0329,0.648,0.845,0.0,0.247,-4.411,0.0273,0.709,120.368
Shatter (Remastered),2S2y5fai1cK6VYpwMHOq0a,328.866,28,8,1,3,0.866,0.378,0.426,0.609,0.119,-10.035,0.026,0.0749,151.38
Flower (Remastered),7Bjnaz4sHvHlaYrpKMerEK,123.053,33,10,1,4,0.868,0.511,0.512,0.0,0.137,-10.378,0.0428,0.7,78.079
Johnny Sunshine (Remastered),4Da1wifhr9gaVq72ORjSQ9,206.986,27,9,1,4,0.328,0.337,0.651,1.72e-06,0.241,-4.878,0.0294,0.147,95.13
Gunshy (Remastered),0OaiPeIGz0gxgS8vAt4WiE,195.306,25,3,1,4,0.855,0.5,0.251,0.255,0.118,-15.903,0.0354,0.364,128.698
Stratford-On-Guy (Remastered),0Vuw6rGX9cO4he9nEAO6Ft,179.453,28,4,0,4,0.276,0.471,0.724,0.000927,0.0867,-5.013,0.0397,0.72,199.9
Strange Loop (Remastered),39dhB8jULKdfUftwEGm5A5,239.513,25,10,1,4,0.00519,0.549,0.888,0.0177,0.156,-5.207,0.0293,0.605,116.281
