Monday Morning,0qjfjKFoP7LaqLI2KI9M1Q,167.84,59,0,1,4,0.00177,0.607,0.567,0.000151,0.212,-15.728,0.0302,0.858,106.495
Warm Ways,4SysnIGNcHQlaz9jJVnIxX,234.826,43,3,1,4,0.509,0.63,0.207,0.00494,0.339,-21.285,0.0303,0.517,91.891
Blue Letter,2P5jgK6L6NeOIKOs6JdDV5,161.066,39,11,0,4,0.000968,0.516,0.571,0.0,0.117,-14.189,0.0353,0.795,148.931
Rhiannon,05oETzWbd4SI33qK2gbJfR,252.773,73,9,0,4,0.111,0.723,0.49,0.0946,0.0923,-14.745,0.0296,0.795,129.012
Over My Head,4rBnrnqnI0tcjcNAFO6RZO,214.666,58,2,1,4,0.319,0.559,0.505,0.00211,0.222,-16.529,0.0288,0.678,98.665
Crystal,6h0s5FUtc6HV3smc8naDPI,314.266,42,4,0,3,0.56,0.556,0.13,0.000147,0.0671,-21.118,0.0354,0.17,123.652
Say You Love Me,6lrQo6KAYvb92MGk6ZuZlt,249.946,65,9,1,4,0.0187,0.723,0.596,0.00513,0.16,-13.436,0.0308,0.962,128.068
Landslide,5ihS6UUlyQAfmp48eSkxuQ,199.493,80,7,0,4,0.883,0.414,0.161,0.000223,0.117,-22.32,0.0318,0.423,159.375
World Turning,6QvgyZ8xG2OFGjZsH3s8d3,265.933,59,2,1,4,0.174,0.676,0.379,0.0072,0.0619,-19.42,0.031,0.818,115.237
Sugar Daddy,29IWmqmyYyA1LylPAd2fxh,250.973,39,9,1,4,0.0124,0.81,0.302,0.402,0.0638,-17.566,0.0456,0.958,122.186
I'm so Afraid,1fXvxcQdz9OEe5IeNHQh72,262.533,56,0,1,4,9.03e-05,0.458,0.308,0.811,0.0832,-19.43,0.0377,0.353,125.059
