Space Intro,3kLFfUPLDYOQxQLuy8acxo,74.628,40,0,1,4,0.946,0.184,0.112,0.908,0.666,-25.658,0.0446,0.0523,71.696
Fly Like An Eagle,3e0FzZjTXOUtiJGSClOBrI,282.693,68,9,0,4,0.61,0.561,0.754,0.0194,0.328,-12.769,0.112,0.642,100.08
Wild Mountain Honey,6lELCr5OEudkNijuNqm14G,289.973,37,4,1,4,0.633,0.48,0.389,0.127,0.125,-15.066,0.0262,0.532,104.256
Serenade,47dR6QIu5KfWhedEwnYhfE,191.066,48,9,0,4,0.206,0.537,0.767,0.000797,0.0589,-11.76,0.0385,0.911,116.804
"Dance, Dance, Dance",3Cje5qSSw9R70tzjIW9H7L,137.4,37,7,1,4,0.363,0.464,0.563,0.0,0.12,-11.156,0.0445,0.897,96.279
Mercury Blues,6lb5d1r1QUeNb5UmM9V5nm,223.026,40,6,1,4,0.366,0.632,0.415,0.0896,0.072,-13.127,0.0247,0.674,98.18
Take The Money And Run,1ZhrREyOOeFV6TxDOyiPwu,170.173,67,0,1,4,0.0552,0.565,0.645,2.84e-06,0.151,-12.923,0.0484,0.836,99.3
Rock'n Me,1orVKbp6vqtfAPOmvRofVq,187.066,65,4,1,4,0.297,0.695,0.582,0.0,0.123,-11.35,0.0651,0.892,122.433
You Send Me,76aaxFTztJKg6h8UBFhjzY,162.36,31,4,0,3,0.827,0.376,0.353,3.24e-05,0.194,-13.606,0.0309,0.384,109.78
Blue Odyssey,4OdfRAnY76PBz3I7RzIYyy,53.4,27,5,1,4,0.957,0.099,0.0799,0.94,0.126,-27.723,0.0432,0.0544,68.022
Sweet Maree,24tgf16nxIbVclDtuMi4Nj,258.623,34,7,1,3,0.822,0.492,0.185,8.73e-06,0.28,-17.097,0.0403,0.3,96.347
The Window,62hiX0fn3nJ7ZwkjYsD3iX,256.933,32,9,0,4,0.107,0.48,0.374,0.000116,0.173,-13.593,0.035,0.367,87.927
