"Oba, Lá Vem Ela",6HO4Z6u6b7fOYbJrPGSZjC,252.506,25,0,1,4,0.641,0.478,0.636,0.000301,0.573,-6.708,0.0553,0.479,98.415
Zé Canjica,7HqFyuxiF1rVUPF3jikP0I,230.84,21,0,1,4,0.548,0.612,0.741,1.72e-05,0.37,-8.258,0.114,0.597,105.438
Domenica Domingava Num Domingo Linda Toda De Branco,0dypSBuz9UJOWdjMWQuSiv,227.306,19,0,1,4,0.249,0.556,0.53,0.0,0.472,-7.683,0.0524,0.492,114.293
Charles Jr.,729wc0jgZXiakEohrKG1Cy,366.266,29,0,1,4,0.383,0.46,0.524,6.57e-05,0.589,-7.321,0.0654,0.348,104.452
"Pulo, Pulo",0MMnTqRiGZQ0RaF0A4ZB61,167.786,18,5,1,4,0.682,0.668,0.723,7.09e-06,0.0958,-8.436,0.089,0.772,103.139
Apareceu Aparecida,4ZaqNvXKpp95JEFossEXnY,195.16,20,9,0,4,0.0855,0.564,0.626,0.0,0.29,-6.517,0.038,0.347,109.47
O Telefone Tocou Novamente,1wFX1LeLO1bMpYrVIk3GAc,228.946,21,4,0,4,0.577,0.545,0.716,0.0,0.132,-6.795,0.0473,0.615,88.258
Mulher Brasileira,459m8JYxe0s9NNRIlItGHf,264.12,18,4,0,4,0.51,0.415,0.593,0.0,0.0814,-5.56,0.0338,0.5,103.698
Terezinha,2LNGHFfQATNMaTjeEKvD83,191.44,18,9,0,4,0.0122,0.654,0.704,0.000348,0.402,-6.013,0.0394,0.646,117.747
Força Bruta,3e3xtjIJzliHs12RGbQBYO,308.413,25,10,0,4,0.579,0.486,0.755,1.87e-06,0.153,-6.826,0.125,0.871,129.121
