In Time,21SHzZ1qsXzJ5Socuuyo8w,347.493,44,10,0,4,0.26,0.852,0.536,0.0413,0.139,-12.557,0.124,0.897,95.791
If You Want Me to Stay,2BydLQAh7CUIFvSEqAMc4x,180.493,66,11,0,4,0.28,0.843,0.48,0.000782,0.108,-11.574,0.0492,0.762,101.993
Let Me Have It All,0xY1l2iECKzl7swYdUzCI9,175.933,32,0,0,4,0.388,0.616,0.587,0.000684,0.101,-11.297,0.0696,0.906,186.52
Frisky,3CG5a5vgvGdsoTlEHNMMc2,191.626,31,5,1,4,0.579,0.683,0.435,0.116,0.0773,-13.361,0.0812,0.885,93.565
Thankful n' Thoughtful,2r0qJtOqcEep29uYsDLlEb,280.173,32,0,1,4,0.734,0.771,0.615,0.0171,0.0601,-13.37,0.152,0.916,172.494
Skin I'm In,0y1eoYIvyK5OLMv6CkH95K,174.693,30,0,1,4,0.692,0.857,0.592,0.737,0.118,-12.986,0.0819,0.882,128.033
I Don't Know (Satisfaction),7A88IksEqI7hXtxnfbE8Tj,232.0,28,5,1,4,0.605,0.487,0.78,1.72e-05,0.141,-9.667,0.202,0.708,174.998
Keep On Dancin',12lFRBA8trWYDu3kI7UiPg,142.906,27,9,0,4,0.649,0.82,0.61,0.00612,0.104,-11.825,0.244,0.911,154.071
"Que Sera, Sera (Whatever Will Be, Will Be)",52Xfwd81ZsBMDTW2S2X3zz,322.2,43,4,1,3,0.788,0.601,0.238,2.65e-05,0.119,-15.469,0.0432,0.304,124.047
If It Were Left Up to Me - Single Master,2KmVDJa2NW46WIvXGn9otN,118.493,29,5,1,4,0.224,0.881,0.418,0.653,0.0942,-11.566,0.0458,0.714,107.496
Babies Makin' Babies,0U4yTKIdI8mKbidmPbsWBe,218.266,27,6,1,4,0.436,0.778,0.414,0.103,0.0507,-11.806,0.106,0.808,93.257
Let Me Have It All - Alternate Mix,2jGoKCVZLVHtjY3FHpxsvL,138.24,25,0,1,4,0.324,0.838,0.504,0.00778,0.0818,-13.784,0.033,0.966,93.139
Frisky - Alternate Mix,2aLlO4sr3jk1DWDbLkTrMD,205.826,24,5,0,4,0.366,0.767,0.473,0.00538,0.0604,-16.153,0.0821,0.846,94.505
Skin I'm In - Alternate Mix,0vnLOJAFXJlfHHB1erYLpA,166.706,24,0,1,4,0.166,0.886,0.427,0.0593,0.0703,-16.173,0.0744,0.869,128.081
Keep On Dancin' - Alternate Mix,0rkGkivnFOBcE72P7nyVS0,162.76,23,3,1,4,0.645,0.775,0.615,6.5e-05,0.17,-13.242,0.127,0.912,162.328
Babies Makin' Babies - Alternate Version,1mZWwVkRGmJ6Bnuc0anZVL,260.106,23,10,1,4,0.257,0.66,0.693,0.118,0.101,-13.614,0.137,0.694,185.889
