Down on the Street - 2005 Remaster,3NpnrlBcEwRIgBs8tUrhyb,223.76,46,2,1,4,0.000107,0.591,0.746,0.527,0.195,-7.066,0.0265,0.857,131.377
Loose - 2005 Remaster,4jYeoH1fAXq5yRcOKOs1Df,214.186,28,4,0,4,2.2e-06,0.378,0.892,0.703,0.262,-6.369,0.0334,0.691,135.895
T.V. Eye - 2005 Remaster,5z79Fpw4FEEkSzt8Lbwr46,257.479,36,4,0,4,0.000148,0.415,0.979,0.287,0.561,-7.426,0.0547,0.494,132.619
Dirt - 2005 Remaster,5EFljk036bORmnYWt5PhmU,423.92,28,5,1,4,0.0024,0.434,0.7,0.113,0.13,-6.835,0.0332,0.607,141.221
1970 - 2005 Remaster,5HqH67HTL7ow5z5zUAHmlc,314.546,33,0,1,4,0.000257,0.366,0.965,0.00137,0.654,-3.478,0.0373,0.664,112.288
Fun House - Remastered,1Z3AeMEH1RUtS9zyEGk3cz,467.213,23,9,1,4,0.000187,0.515,0.907,0.000137,0.109,-6.717,0.0401,0.862,131.496
L.A. Blues - 2005 Remaster,4a8Of2RFUEkI92bp4czkFQ,297.346,18,2,1,3,1.77e-05,0.182,0.983,0.481,0.447,-7.66,0.24,0.0761,123.881
T.V. Eye - Takes 7 & 8,2zF3Hq6coZFQT3P33m1urL,361.08,14,2,1,4,0.000163,0.483,0.974,0.438,0.426,-4.954,0.0716,0.665,134.619
Loose - Demo,4GmZ9413jzEbaHEMl96ijj,73.24,13,4,1,4,0.479,0.548,0.929,0.932,0.341,-8.989,0.0331,0.793,117.31
Loose - Take 2; Edit,2jFXZVsAxJHepP43Rhat19,222.64,13,2,1,4,9.4e-05,0.346,0.951,0.0856,0.3,-3.784,0.0472,0.689,131.093
Loose - Take 22,6nQgnaXd1IUGv9aYxEdbJd,222.333,12,2,1,4,0.000153,0.462,0.941,0.797,0.127,-3.679,0.0366,0.523,132.446
Lost in the Future - Take 1,47AS0mNb9gfHL8XPRNCzos,341.706,13,2,1,3,0.0968,0.263,0.672,0.404,0.631,-8.58,0.0334,0.113,91.828
Down on the Street - Take 1,2U3Xad6M0DUWsVqKL8UBSf,125.306,11,9,1,4,0.202,0.797,0.831,0.00368,0.0407,-9.093,0.0565,0.702,125.522
Down on the Street - Take 8,6lIJX7aFk2o5836SyaZG4k,255.373,11,11,0,4,0.00818,0.699,0.852,0.61,0.0959,-5.591,0.0322,0.936,129.487
Dirt - Take 10,4tAAQVNROznodYkmZ7sSoy,429.76,12,9,0,4,0.18,0.44,0.68,0.193,0.105,-6.796,0.0283,0.51,140.445
Slide (Slidin' the Blues) - Take 1,1tkPSdkkq70ZWTNfsm8v6H,275.106,16,11,0,3,0.221,0.512,0.521,0.277,0.293,-9.037,0.101,0.458,125.446
1970 - Take 3,0ge1WFjPBWnfPz0JnlC212,454.4,11,11,0,4,0.00806,0.292,0.881,0.000205,0.262,-5.754,0.0475,0.427,110.48
Fun House - Take 2; Edit,4RTm6aNW84g0yjNz3Wsde9,554.786,10,11,0,4,0.00998,0.447,0.87,0.00286,0.207,-4.797,0.0568,0.846,130.662
Fun House - Take 3,4eeDOV0IjKsWNp3DVhrNFG,679.6,9,9,1,4,0.0101,0.493,0.878,0.0402,0.117,-4.705,0.0478,0.876,130.537
Down on the Street - Single Mix; 2005 Remaster,537UeRgPWwJDDN5yJF6nD6,163.88,12,2,1,4,0.000835,0.624,0.778,0.715,0.474,-4.831,0.0282,0.908,131.247
I Feel Alright (1970) - Single Mix; 2005 Remaster,0EY97RR4dT7zNWX9KJlw5E,201.226,12,4,0,4,0.0258,0.374,0.949,0.0152,0.365,-3.665,0.0359,0.821,112.068
