Funeral,4y1GxT1XnufGddKkrFkbtC,194.64,46,0,1,4,0.472,0.577,0.624,0.0,0.182,-4.28,0.26,0.324,136.966
Mahogany,5f9JYuHSIHjp6rggue13RS,177.866,57,1,0,4,0.0737,0.466,0.608,0.0,0.406,-4.8,0.45,0.41,79.48
Mama Mia,7K8vPC3GPWafq2zXHuUGXz,225.44,53,5,0,4,0.335,0.711,0.639,0.0,0.144,-5.338,0.431,0.961,139.945
"I Do It (ft. Big Sean, Lil Baby)",1bRO28yzxgO3y3UmNR29TZ,184.44,65,1,1,4,0.125,0.804,0.528,0.0,0.41,-3.231,0.378,0.321,138.005
Dreams,7C9Yhom0eOTVIACJu4DBWo,227.68,49,7,0,4,0.104,0.604,0.57,0.0,0.178,-4.093,0.0331,0.618,140.06
Stop Playin With Me,2otTuKRISADOYA47CmIT4W,187.373,44,7,1,4,0.718,0.623,0.783,0.0,0.565,-7.141,0.423,0.783,88.562
Clap For Em,7AMK6RdMOQlpMI3cpjLW1m,150.826,49,11,1,4,0.0186,0.567,0.803,0.0,0.361,-5.656,0.222,0.568,97.547
Bing James (ft. Jay Rock),3wGkYZLDYtULqg635DyKw8,203.68,48,9,0,4,0.197,0.749,0.657,0.0,0.0713,-5.186,0.339,0.69,169.936
Not Me,3tQ1sVcdTxPEn5SEy0nkCQ,199.026,48,1,1,4,0.401,0.897,0.616,0.0,0.15,-5.4,0.325,0.585,94.014
Trust Nobody (ft. Adam Levine),5BVVgL1FJ0wAEyNH0Mc8yX,168.333,50,2,0,4,0.18,0.776,0.566,0.0,0.115,-5.301,0.0617,0.389,84.988
Know You Know (ft. 2 Chainz),4jT3GU6bhC8mrtDPZsNd0S,164.773,46,0,0,4,0.438,0.803,0.549,0.0,0.135,-5.347,0.28,0.591,139.935
Wild Dogs,4WkYfVna9LPWvP1ieMuLQC,216.893,44,2,1,4,0.0403,0.807,0.519,0.0,0.152,-6.489,0.337,0.283,134.867
Harden,5JQsSh4OOKvV9tsSSWljGc,182.24,47,4,0,4,0.35,0.646,0.79,0.0,0.322,-4.776,0.219,0.648,144.148
I Don't Sleep (ft. Takeoff),03TzvVWdkVbLT9pzewYiDw,200.733,58,8,1,4,0.0785,0.587,0.635,0.0,0.175,-6.369,0.422,0.758,82.517
Sights And Silencers (ft. The Dream),4JPSDfkcSSuvKLzsOS3RwU,202.92,44,6,1,4,0.493,0.766,0.398,0.00118,0.119,-8.189,0.0303,0.092,125.051
Ball Hard (ft. Lil Twist),5ZAOL1owTI8LQcRTzbZ9jY,178.933,53,8,1,4,0.143,0.859,0.652,0.0,0.106,-6.343,0.301,0.745,75.518
Bastard (Satan's Kid),4vbd6HosPvSpwlKBRj1Drr,192.146,45,10,0,4,0.264,0.822,0.692,0.00263,0.131,-4.176,0.227,0.782,139.97
Get Outta My Head (ft. XXXTentacion),3Fr6yG5mUHUBqmZ1iDbk7C,178.48,45,5,0,3,0.2,0.547,0.544,0.0,0.129,-8.033,0.508,0.491,101.913
Piano Trap,6tymsSi3SLlsTHBDd6d2Nb,194.773,49,1,1,4,0.0646,0.572,0.807,0.0,0.116,-2.135,0.271,0.562,140.032
Line Em Up,0pl50PBq8jXKl4Tg4tF7G1,179.2,44,2,1,4,0.0308,0.691,0.667,0.0,0.317,-4.211,0.0895,0.441,84.952
Darkside,0ysASp3nCRFQ4UuuOptVsf,139.6,42,1,1,4,0.35,0.896,0.575,0.0,0.138,-5.233,0.388,0.171,125.555
Never Mind,3yRopKtjL70UCwvNuoxMLu,213.733,43,9,1,4,0.338,0.678,0.502,0.0,0.341,-5.72,0.076,0.171,160.041
T.O. (ft. O.T. Genasis),7CpKuLCyB59BXkzEvMEDc2,188.866,43,4,0,4,0.131,0.863,0.601,0.0,0.68,-4.135,0.338,0.377,119.968
Wayne's World,5SqVYAZIzU3R0TM0JDS8k5,225.945,41,7,1,4,0.0662,0.803,0.677,0.0,0.358,-4.513,0.266,0.57,134.037
