Time Tough,0GX3igA23J42onO5WEWFMk,264.16,49,0,1,4,0.183,0.902,0.384,0.0,0.628,-12.998,0.0764,0.923,92.077
In The Dark,2IJRcC95cUWXYaygvXDZAD,169.106,35,3,1,4,0.721,0.885,0.463,0.0268,0.0441,-14.637,0.0527,0.902,89.084
Funky Kingston,26WPI2aksB9XdqmeLfca5z,295.666,59,11,1,4,0.265,0.777,0.458,0.00295,0.0423,-12.358,0.0841,0.961,99.05
Love Is Gonna Let Me Down,6onGGeos08kwJyrxeBz0Aa,197.293,37,10,0,4,0.503,0.328,0.325,2.43e-05,0.246,-18.464,0.0479,0.521,171.977
"Louie, Louie",1atkZrPGVoZ9I4Fa4CYuXp,268.773,41,0,1,4,0.323,0.75,0.505,0.162,0.0605,-15.795,0.0714,0.912,89.309
Pomps & Pride,5GYNbmKPAOfIa5m5mWkV6t,269.36,43,11,1,4,0.534,0.641,0.434,0.00382,0.27,-14.375,0.113,0.874,159.481
Got To Be There,1fofuJN2TDl2kqIRAUbywC,185.573,36,0,1,4,0.796,0.824,0.332,0.266,0.0973,-16.86,0.104,0.889,84.119
Country Road,78idK1ANg6tbO8d67GD09B,205.2,58,8,1,4,0.43,0.624,0.329,0.000525,0.0798,-16.005,0.143,0.915,175.024
Pressure Drop,2TRPiN6o3jMRX6u2acRvp0,229.56,41,8,1,4,0.601,0.66,0.392,0.0,0.0376,-17.606,0.0365,0.979,147.395
Sailin' On,1TSd05OMiBVEcuNOwMCHXq,215.24,42,2,1,4,0.528,0.786,0.306,0.000965,0.0865,-18.223,0.398,0.82,115.791
