Spirits In The Material World,4frelkLhC4ATqJH9VGJztu,179.066,56,9,0,4,0.273,0.833,0.663,0.016,0.0327,-7.859,0.058,0.859,141.551
Every Little Thing She Does Is Magic,44aTAUBF0g6sMkMNE8I5kd,260.573,73,2,1,4,0.121,0.558,0.768,0.0626,0.124,-9.997,0.0343,0.429,81.909
Invisible Sun,5u8Dwz4h41DDOKfeFfexMR,224.2,50,10,1,4,0.425,0.573,0.396,0.267,0.0934,-10.927,0.031,0.149,120.308
Hungry For You,6xK4wLYwSszCXsiPhOhG4I,172.893,40,0,1,4,0.102,0.728,0.762,0.279,0.0363,-6.787,0.0299,0.93,139.507
Demolition Man,4cAWzXWGoRIezpTy9ZiDRg,357.2,44,4,0,4,0.00024,0.432,0.733,0.789,0.0993,-9.925,0.029,0.814,153.757
Too Much Information,4Vpc9K0tNyosBkXCjdd9sM,222.666,44,7,1,4,0.0565,0.676,0.698,0.00519,0.552,-9.056,0.0496,0.699,126.965
Re-Humanise Yourself,2JyVV8vBL5IyjRQ6TC1ztN,190.426,36,6,0,4,0.00967,0.567,0.923,0.000139,0.2,-7.311,0.0702,0.661,97.757
One World (Not Three),61vPMevL4UysTHUKAEbV8j,286.546,40,0,1,4,0.00469,0.549,0.73,0.0111,0.268,-8.67,0.0855,0.797,168.1
Omegaman,3uHuP8x5QwMfElxYVZ9FTk,167.866,36,5,1,4,0.00269,0.286,0.892,0.000658,0.834,-7.933,0.103,0.34,183.332
Secret Journey,1klFQ3R5AN86f0moMUdSYS,213.693,39,2,1,4,0.00247,0.559,0.707,0.00516,0.178,-9.68,0.0331,0.301,131.425
Darkness,2zGmWtewQWYWMZMptybOMg,193.866,44,11,0,4,0.43,0.35,0.595,0.000256,0.0888,-11.242,0.0385,0.228,185.211
