Giant Steps,47vmcuvMWFIsMaiHFIGSIu,283.439,53,0,0,4,0.441,0.431,0.491,0.000458,0.134,-10.746,0.0562,0.577,148.243
Cousin Mary,0DBEfSktiApw6NoTpH1Sjc,349.533,35,1,1,4,0.473,0.529,0.354,0.00371,0.144,-15.427,0.0546,0.443,111.434
Countdown,35LAll8dgzkn42G8OPVbKR,145.44,35,4,0,3,0.668,0.423,0.494,0.0753,0.103,-14.248,0.0629,0.526,172.715
Spiral,2eUzG1r6YcEXQeiiFWyaaV,362.866,32,7,1,4,0.621,0.524,0.299,0.102,0.0706,-13.617,0.0337,0.316,91.968
Syeeda's Song Flute,3VwKqr3t9W4Hnt2g9afW8T,425.626,32,10,0,4,0.676,0.597,0.197,0.0168,0.128,-16.144,0.0516,0.41,93.371
Naima,1hVRTl4yhWmGW7ImZoO22e,258.266,59,10,0,3,0.948,0.303,0.0141,0.0944,0.0792,-19.759,0.0418,0.157,171.439
Mr. P.C.,5ytXSrCiSO8UWL4f6rAOJy,423.16,43,5,0,4,0.466,0.475,0.541,1.24e-05,0.319,-11.89,0.0749,0.596,131.121
"Giant Steps - Alternate Version, Take 1, Incomplete",0Od4MBaHOrJoL1MHP47lDY,224.133,27,0,0,4,0.422,0.491,0.473,0.0,0.359,-11.697,0.0656,0.502,125.698
Naima - Take 2 - Alternate,3Yx8YRLkZIESkA9CsfrpvF,271.973,26,3,1,4,0.845,0.321,0.0928,0.19,0.0536,-13.849,0.04,0.248,173.777
Cousin Mary - Alternate Take,44QlUFzlTrH0UkQP6E56ih,350.266,25,8,1,4,0.495,0.546,0.344,8.57e-06,0.114,-15.479,0.0597,0.552,106.528
Countdown - Alternative Take,6bZMUt2XMhUEudOz4r4HvL,277.8,25,2,0,4,0.786,0.504,0.634,0.00191,0.0848,-11.682,0.0512,0.927,80.658
Syeeda's Song Flute - Alternate Take,7ecJ6gulTWRWoduxiNN5Zg,431.36,24,10,0,4,0.483,0.603,0.187,0.00144,0.0691,-16.939,0.0641,0.411,91.117
"Giant Steps - Alternate Version, Take 2, False Start",1PcWf0DgzWi9FFZguNJuQg,211.906,24,3,1,4,0.606,0.563,0.478,7.4e-05,0.308,-9.828,0.0505,0.538,124.704
"Naima - Alternate Version, Take 2, False Start",5BbCrizc5p0kmlAfuEWjUJ,207.626,24,10,0,4,0.884,0.253,0.09,0.0217,0.0602,-11.846,0.0379,0.319,175.494
Giant Steps - Alternate Take,4MPCvJvpJfe2qGZOutNQC1,291.173,24,0,0,4,0.567,0.407,0.473,0.00155,0.103,-12.127,0.0565,0.685,149.17
