Give It up or Let Me Go - Remastered Version,4GyoNlQeLSHFZX2txg7cOr,269.6,33,5,0,4,0.4,0.494,0.729,0.00938,0.173,-11.616,0.0284,0.818,99.671
Nothing Seems to Matter - Remastered Version,5NqjIqor67URvxlUA0Lbfd,245.44,22,2,1,4,0.569,0.386,0.475,6.89e-05,0.135,-7.875,0.0272,0.509,131.862
I Know - Remastered Version,5lV9iUQzwQWo1gZMGjkeGl,227.666,30,2,1,4,0.357,0.621,0.839,0.00653,0.228,-6.379,0.0427,0.872,108.04
If You Gotta Make a Fool of Somebody - Remastered Version,4q12WodyPQA9fRFOPKZfVx,180.666,19,0,1,3,0.566,0.348,0.599,0.164,0.261,-7.187,0.0286,0.46,99.054
Love Me Like a Man - Remastered,0h06YSqzwbAU9ZDuIvw8pk,192.2,53,11,0,4,0.3,0.595,0.525,3.15e-05,0.197,-11.582,0.0499,0.826,124.569
Too Long at the Fair - Remastered,1oMhFBq8JndGlXmknlkSjp,178.733,32,5,1,4,0.696,0.439,0.485,0.0701,0.0963,-7.513,0.0303,0.296,140.077
Under the Falling Sky - Remastered,2wRnK8Rmj4Q7ht4ywSE8lS,223.0,21,0,1,4,0.0252,0.345,0.744,0.00323,0.144,-11.225,0.0743,0.467,133.221
You Got to Know How - Remastered Version,5aZZD9NLAOyxf6HMs9br41,216.466,20,2,0,4,0.495,0.601,0.683,3.99e-05,0.263,-5.53,0.0339,0.752,124.533
You Told Me Baby - Remastered Version,0igDAUHZsRr5Hjjw6FhGkU,252.24,19,4,0,4,0.167,0.476,0.941,0.00131,0.178,-4.543,0.106,0.864,122.389
Love Has No Pride - Remastered,5IaEafAl7QJbxu9DG1usyb,228.64,29,9,1,3,0.3,0.449,0.17,0.003,0.0909,-17.903,0.0292,0.165,76.606
