The Tracks Of My Tears,6QyQmdvQ1ywNccYa0pwLNQ,174.36,63,7,1,4,0.699,0.502,0.333,0.0,0.222,-10.914,0.0264,0.729,96.982
Going To A Go-Go,5s3zYvzEpBk0WbG6AgFUBK,165.786,45,7,1,4,0.484,0.615,0.721,0.0,0.128,-9.703,0.0328,0.967,129.596
Ooo Baby Baby,3nsJGZ5RV2ZHkbKvD771gU,164.16,58,7,1,3,0.81,0.185,0.344,0.0,0.166,-9.378,0.0295,0.424,178.635
My Girl Has Gone,4oHcMcbUjbPK7zKyx4dQln,170.026,25,2,1,4,0.791,0.396,0.506,0.0,0.195,-10.54,0.0289,0.778,91.896
In Case You Need Love,4QK0hk76YvEaklN2iZY4bi,156.36,28,10,1,4,0.199,0.581,0.589,0.0,0.346,-9.449,0.0283,0.887,110.743
Choosey Beggar,2SEpfEqxeuACELl94pZSCB,152.6,27,8,1,4,0.756,0.396,0.456,0.0,0.201,-11.011,0.0267,0.703,98.855
Since You Won My Heart,6dcZiujlB3HkKk1c4AoRE2,136.12,21,2,1,1,0.479,0.428,0.54,0.0,0.385,-11.806,0.0345,0.849,123.475
From Head To Toe,6UbTEJTYdfDq0KSHT6UzEY,144.266,39,2,0,4,0.188,0.571,0.629,0.0,0.181,-9.867,0.0265,0.954,91.994
All That's Good,1WYNP8n9gVb2Ajn9mrMrW9,192.28,19,0,1,4,0.855,0.413,0.506,0.0,0.144,-11.064,0.0356,0.618,111.833
My Baby Changes Like The Weather,2zjolxqyzR6e40hdgQ0oRH,166.12,20,0,1,4,0.408,0.506,0.689,0.0,0.51,-10.55,0.0419,0.636,124.053
Let Me Have Some,2pByRkMtcBMMb7jn0jucpZ,187.426,23,2,1,4,0.348,0.6,0.729,0.0,0.58,-9.256,0.0329,0.908,135.297
A Fork In The Road,75EBphXiLQgeFspAYTaqiq,205.24,35,0,1,4,0.695,0.44,0.418,0.0,0.204,-12.568,0.0252,0.446,89.286
