Rednecks - Remastered,2cS8dkvvjGxvArM1Nvj5IE,189.146,30,2,1,4,0.37,0.626,0.649,4.4e-06,0.194,-5.737,0.0581,0.523,115.675
Birmingham - Remastered,5ZF3YU3oOEe7QsnJxz4CQV,166.36,30,4,1,4,0.829,0.468,0.34,0.00545,0.25,-12.484,0.0287,0.315,106.362
Marie - Remastered,2RsIMMh9vfuaQanujKuqUq,189.266,28,9,1,3,0.875,0.222,0.144,0.0487,0.105,-18.117,0.0331,0.163,78.687
Mr. President (Have Pity on the Working Man) - Remastered,5mN62DPkjTQ9vQfI4ueioJ,166.16,37,11,1,4,0.251,0.556,0.462,0.00574,0.141,-11.568,0.0265,0.626,102.216
Guity - Remastered Version,6Pf46Rah6cYDPy6mtNYpxB,153.4,27,6,1,3,0.673,0.345,0.271,0.0111,0.115,-12.598,0.0267,0.138,148.147
Louisiana 1927 - Remastered,7qLEaxMiR8WUsCG1uOBsuO,176.0,31,7,1,4,0.317,0.325,0.28,0.00291,0.159,-11.715,0.0284,0.187,134.056
Every Man a King - Remastered,6TOtltlIwJrPVHqUeXrimu,62.573,28,10,1,4,0.916,0.824,0.27,1.5e-06,0.0891,-13.318,0.0385,0.725,113.454
Kingfish - Remastered,5fNi5vqe3VqWdpeJNTfR66,164.693,24,5,1,4,0.745,0.393,0.411,6.08e-05,0.0824,-8.921,0.0293,0.348,93.986
Naked Man - Remastered,1Y4YTkmEPJradjnnyTD5TR,189.333,25,9,1,4,0.622,0.642,0.607,0.000844,0.12,-11.684,0.0375,0.772,126.71
A Wedding in Cherokee County - Remastered,6ykqc6Z9kIKZBinWmEPitn,189.2,24,6,1,3,0.901,0.446,0.225,0.000545,0.1,-15.818,0.042,0.168,178.146
Back on My Feet Again - Remastered,569dvIIgoXk5Q4jwONOzfm,201.6,23,2,1,4,0.633,0.74,0.568,8.04e-05,0.0745,-10.676,0.0286,0.855,111.72
Rollin' - Remastered,0AfiR5BgLzSAuXk3Y4PWLL,175.24,25,5,1,4,0.859,0.322,0.157,0.237,0.122,-20.243,0.0291,0.349,84.676
Marie - Demo Version,6H9uiUmcLrUGgUXw0i6tKL,171.666,21,9,1,4,0.963,0.37,0.0925,4.33e-05,0.146,-20.321,0.0333,0.235,77.703
