Funeral For A Friend / Love Lies Bleeding - Remastered 2014,5NERbS7923kF471NLKDZkB,666.571,54,9,0,4,0.0221,0.403,0.764,0.17,0.245,-8.554,0.0451,0.196,138.725
Candle In The Wind - Remastered 2014,1L9fzw2pXprOqtemTwtxXF,228.932,66,4,1,4,0.183,0.602,0.536,1.9e-05,0.0802,-9.74,0.0288,0.506,124.558
Bennie And The Jets - Remastered 2014,5Wj1rJnCLpMHdLaxsFtJLs,322.548,74,0,1,4,0.259,0.665,0.673,7.62e-06,0.497,-7.95,0.0493,0.779,132.642
Goodbye Yellow Brick Road - Remastered 2014,4IRHwIZHzlHT1FQpRa5RdE,192.826,71,5,1,4,0.446,0.559,0.473,0.00141,0.154,-7.712,0.0279,0.397,121.227
This Song Has No Title - Remastered 2014,4oXPKd1nCTONb2O9NEWjUn,143.394,45,2,0,4,0.839,0.422,0.442,0.0,0.0853,-8.228,0.034,0.179,107.341
Grey Seal - Remastered 2014,6sGjJmzgxvfNqLyp8yd0TH,240.126,45,7,1,4,0.0142,0.452,0.913,3.11e-05,0.0655,-6.841,0.0487,0.449,135.867
Jamaica Jerk-Off - Remastered 2014,5uyAeakIkHyTSW88uCD0M4,218.341,40,3,0,4,0.000728,0.753,0.732,1.7e-06,0.0626,-8.828,0.0383,0.951,134.066
I've Seen That Movie Too - Remastered 2014,3kiUD1IZ5icXuyKI1Rwh8j,357.658,43,5,0,4,0.317,0.505,0.459,1.9e-05,0.106,-8.684,0.0281,0.299,114.07
Sweet Painted Lady - Remastered 2014,7sGL3k2M6FiWFP9x83wiLA,234.053,44,7,1,4,0.358,0.612,0.382,0.0,0.643,-11.563,0.03,0.547,117.302
The Ballad Of Danny Bailey (1909-1934) - Remastered 2014,6376udcVByOCGHmiJ9kijq,263.279,40,7,1,4,0.402,0.495,0.661,0.00118,0.0827,-9.645,0.0385,0.669,79.9
Dirty Little Girl - Remastered 2014,7L1d7xwCkOZRQ5yMluNNB3,300.353,40,2,1,4,0.15,0.728,0.881,0.000832,0.119,-6.518,0.0365,0.878,132.019
All The Girls Love Alice - Remastered 2014,4gad1qhsqNL63n9OyCDsjL,308.353,43,10,0,4,0.0208,0.533,0.826,0.00188,0.348,-9.246,0.058,0.531,88.934
Your Sister Can't Twist (But She Can Rock'n' Roll) - Remastered 2014,2fYxpSFhg95sBwaGp5JlFU,161.64,39,4,1,4,0.0111,0.464,0.972,1.47e-06,0.818,-6.887,0.0553,0.91,95.407
Saturday Night’s Alright (For Fighting) - Remastered 2014,12yHvSYFXI7PGzNecUvIDu,295.466,66,0,1,4,0.0195,0.513,0.979,0.0951,0.0906,-6.362,0.0425,0.94,152.875
Roy Rogers - Remastered 2014,6DlqxXju2H2mb0NcwgAFRM,247.413,40,5,1,3,0.239,0.531,0.453,0.0,0.231,-9.117,0.027,0.351,121.058
Social Disease - Remastered 2014,0Gvc5Ii3duAifGy2QaFDVt,222.706,39,2,1,4,0.223,0.352,0.79,0.0,0.154,-7.294,0.0674,0.812,190.692
Harmony - Remastered 2014,3U05P1UcqaOFHlaZ0Wk8d7,164.872,43,3,1,4,0.187,0.566,0.466,0.0,0.105,-9.065,0.0264,0.426,132.54
