The Boy In the Bubble,00IrSynHsun7DpDrLkRIjM,239.693,53,2,1,4,0.479,0.62,0.703,0.0,0.14,-7.854,0.0836,0.559,136.155
Graceland,51KKQAgYFoJHgVIuJWHdHb,291.2,67,9,1,4,0.626,0.732,0.705,0.00068,0.0813,-9.271,0.0349,0.848,117.925
I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),1jBbbJQfOKyBsJNVng8eIy,193.373,52,0,1,4,0.254,0.795,0.741,0.000251,0.189,-6.78,0.0534,0.961,117.906
Gumboots (with Boyoyo Boys),26BtvjUZgQzIgYbXe4e6oR,164.826,48,2,1,4,0.506,0.581,0.878,0.0,0.333,-6.784,0.248,0.595,144.888
Diamonds on the Soles of Her Shoes,71GvlH0VdeClloLIkHrAVu,349.28,65,5,1,4,0.776,0.791,0.677,0.00121,0.224,-9.724,0.0356,0.876,110.64
You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,280.0,76,5,1,4,0.182,0.776,0.763,0.0065,0.077,-8.124,0.0535,0.82,128.433
Under African Skies,40ZTTezGy5R2Led0sO0kn6,217.16,50,8,1,4,0.459,0.536,0.677,0.000205,0.225,-8.593,0.0486,0.648,74.155
Homeless (with Ladysmith Black Mambazo),75fomtP3etOOIJDBAXVawy,228.413,49,6,1,3,0.875,0.404,0.27,0.0,0.262,-16.337,0.0681,0.294,91.396
"Crazy Love, Vol. II",5YRzxz5G4vtaj0jOuGaMp8,259.36,47,0,1,4,0.681,0.706,0.623,9.31e-05,0.0827,-9.63,0.0445,0.668,124.978
That Was Your Mother (with Good Rockin' Doopsie & The Twisters),2WBzF0a3DDzqjNF8V3ApAw,172.813,45,9,0,4,0.107,0.722,0.757,2.06e-05,0.217,-7.918,0.0636,0.483,113.991
All Around the World or the Myth of Fingerprints (with Los Lobos),4Yer5J62AsSebsDBr7xla6,197.533,45,0,1,4,0.248,0.595,0.673,2.06e-05,0.0425,-8.227,0.0803,0.879,178.853
Homeless (Demo),22kWVu7uDmXDWENT5fUKH3,150.733,43,7,0,4,0.929,0.32,0.144,0.000537,0.117,-17.043,0.0371,0.341,124.651
Diamonds on the Soles of Her Shoes - Alternate Unreleased Version,2zUYlhVoLdTFgOXVYmwq5j,281.333,44,5,1,4,0.964,0.748,0.271,0.02,0.09,-12.194,0.0401,0.715,110.793
All Around the World or the Myth of Fingerprints (Early Version),4jSqmbZinf7lYyNomskIix,197.733,42,0,1,4,0.393,0.586,0.761,1.63e-05,0.064,-8.564,0.0567,0.809,89.126
You Can Call Me Al - Demo,2ZkPJN0lHx7dZSfZ0LdHpE,124.12,41,5,1,4,0.0524,0.812,0.818,0.878,0.0364,-7.795,0.0305,0.973,121.593
Crazy Love - Demo,1x44b9WUQCferJvgKd2kGi,151.12,41,0,1,4,0.222,0.724,0.77,0.76,0.0437,-7.859,0.0362,0.948,125.472
"The Story of ""Graceland"" as Told by Paul Simon",6qxXWHksQRKpRAjxzuS0Vs,577.013,39,1,0,4,0.736,0.645,0.351,5.6e-06,0.104,-16.716,0.5,0.595,117.822
