Guitar Town,62ZRHYSOIT9WeZnz18kTHS,155.266,58,7,1,4,0.229,0.661,0.496,0.0,0.0753,-15.53,0.0357,0.948,165.549
Goodbye's All We've Got Left,2j8f8HkA3rY1dbWgMOC5bk,204.933,28,2,1,4,0.114,0.778,0.588,0.0217,0.0646,-15.161,0.0319,0.96,126.333
Hillbilly Highway,4uNlfabxvVcUZmQZxXJnWW,218.36,40,1,1,4,0.164,0.595,0.546,1.54e-06,0.0784,-12.951,0.0284,0.879,167.064
Good Ol' Boy (Gettin' Tough),7gALRlgWbGZEMytZcJwSzq,240.466,30,3,1,4,0.163,0.732,0.677,5.91e-05,0.0752,-12.633,0.0301,0.902,123.655
My Old Friend The Blues,2f942IZh0TwMZ848D6OS8N,189.106,26,7,1,4,0.66,0.423,0.137,5.42e-05,0.0604,-17.227,0.0321,0.245,142.46
Someday,6f5yMTESpEdHEWhA6PxsaF,229.066,38,7,1,4,0.325,0.67,0.41,0.000473,0.0767,-14.979,0.0272,0.636,105.91
Think It Over,1dUxGEPrPYQ53Oo9uSpmDL,136.76,23,4,1,4,0.202,0.603,0.482,0.000273,0.13,-15.961,0.043,0.93,176.537
Fearless Heart,0JDgL83WYa7dmrTFvCcD5E,247.973,28,7,1,4,0.00733,0.551,0.542,0.000589,0.287,-13.041,0.0314,0.968,188.368
Little Rock 'N' Roller,6dSAvVtWunfAWkYc4aUy1n,292.093,23,4,1,4,0.267,0.615,0.226,1.06e-06,0.0923,-17.746,0.0273,0.136,97.363
Down The Road,34Q5jgv1zFkVVaFZ5ehVQr,157.8,30,8,1,4,0.277,0.695,0.26,2.09e-05,0.0992,-17.502,0.0403,0.586,78.666
