Who Do You Love - Pt. 1,14hykKy6TC9y6chiptCtje,212.733,37,4,1,4,0.376,0.642,0.56,0.788,0.499,-13.159,0.0749,0.832,92.588
When You Love,0cNGBAQX1VpcFNm5QtS1go,314.373,25,6,0,4,0.016,0.456,0.475,0.808,0.179,-14.052,0.0318,0.88,89.162
Where You Love,7JXjRBxEzhEQp16FQxUol1,366.533,21,9,1,4,0.483,0.564,0.447,0.817,0.748,-21.131,0.102,0.321,90.111
How You Love,2cWL7yCdUnaFynqA7z81QP,165.426,21,4,1,4,0.296,0.393,0.795,0.81,0.191,-12.939,0.0359,0.52,97.061
Which Do You Love,6nvqMow6jtm6nSlZw3kEQG,109.2,21,6,0,4,0.781,0.597,0.407,0.941,0.11,-20.508,0.049,0.617,98.308
Who Do You Love - Pt. 2,24dBPoFslfqnOK1bl0s3sI,351.8,21,4,1,4,0.376,0.298,0.358,0.0508,0.783,-17.275,0.0494,0.437,93.545
Mona,0C097TFNj4ikTOISggfohB,421.266,29,9,1,4,0.667,0.411,0.394,0.695,0.334,-16.244,0.0424,0.703,162.959
Maiden Of The Cancer Moon,10Zp2cRLMFCWjUq6xdeyqC,171.84,23,9,1,4,0.439,0.37,0.358,0.863,0.607,-14.4,0.0406,0.267,95.199
Calvary,6jIQb6nCEJxTr5CH20BVw7,813.6,19,11,1,4,0.524,0.28,0.34,0.927,0.269,-17.939,0.0424,0.13,98.192
Happy Trails,1V9tRnk6ntWdANXGk25XeC,89.76,18,0,1,4,0.752,0.372,0.13,4.57e-06,0.388,-22.785,0.0326,0.208,101.417
