I'm a Man - 2015 Remaster,0hIuZ0A7mlWQvSAoqYBbRn,159.866,26,7,1,4,0.0342,0.388,0.674,0.305,0.23,-11.495,0.0721,0.758,144.333
You're a Better Man Than I - 2015 Remaster,6eZM1KYhOV00SAla8zN66e,238.333,25,11,0,4,0.46,0.541,0.654,7.22e-06,0.265,-8.676,0.039,0.386,132.157
Evil Hearted You - 2015 Remaster,0qSrxeQ19oUvFAGPTkO9ax,146.493,21,0,1,4,0.356,0.365,0.505,1.47e-05,0.15,-9.719,0.0413,0.681,131.709
Still I'm Sad - 2015 Remaster,757F1Tk1KCx2PvMkuD4GY0,179.96,23,11,0,4,0.614,0.439,0.414,0.000757,0.158,-10.947,0.0311,0.522,121.578
Heart Full of Soul - 2015 Remaster,3HlbrnCBdrJ1NObHLMXSZh,147.893,49,9,0,4,0.231,0.492,0.666,5.69e-05,0.0469,-9.743,0.0351,0.699,140.829
The Train Kept A-Rollin' - 2015 Remaster,4AgTyC3Sk2VEDjPPYtY3Q2,208.493,32,11,0,4,0.102,0.482,0.691,1.1e-05,0.102,-9.995,0.0366,0.933,89.05
Smokestack Lightning - Live - 2015 Remaster,6X1rjBeuBjGBRxerEZnxf5,334.64,23,9,1,4,0.0542,0.363,0.672,0.00302,0.923,-12.747,0.0412,0.643,72.376
"Respectable - Live at the Marquee Club, 1964 - 2015 Remaster",76zGrBucUJP892GPiLAPbG,329.666,19,2,0,4,0.032,0.362,0.879,0.0,0.42,-12.298,0.0477,0.692,144.416
"I'm a Man - Live at the Marquee Club, 1964 - 2015 Remaster",0BSj3o4iEczwBqqcn8EHBo,271.346,15,0,1,4,0.0204,0.385,0.788,0.00037,0.951,-12.717,0.0603,0.84,140.159
"Here 'Tis - Live at the Marquee Club, 1964 - 2015 Remaster",3DSv54FeUd8MDYCZ4uChvl,309.666,14,9,0,4,0.0766,0.256,0.896,0.0,0.943,-10.715,0.151,0.737,145.924
