Show of Strength,4rnSOS7lRqsqf2qMo1TsyF,290.133,25,4,0,4,0.00206,0.495,0.805,0.000656,0.096,-8.354,0.0337,0.567,137.854
With a Hip,2sTmJ0s9d3FL9ieWaafTTL,195.28,20,4,0,4,7.86e-05,0.542,0.866,0.00293,0.439,-6.688,0.0336,0.792,144.237
Over the Wall,1hQ5YuTPXIho0kZGsFXpFC,366.506,23,0,1,4,0.000264,0.498,0.875,0.0877,0.0775,-9.88,0.0334,0.63,133.089
It Was a Pleasure,5njeqI1bSs2OkaAvgkYza1,192.666,14,9,1,4,0.00366,0.409,0.903,0.0289,0.111,-5.476,0.0683,0.858,125.567
A Promise,55wpkJBPlFrIkqsKGHWPEa,243.16,16,7,1,4,0.00373,0.447,0.862,0.00476,0.419,-6.652,0.0351,0.425,129.139
Heaven up Here,4gdxwOhnHPeE9DNCBmekK0,223.866,14,9,0,4,9.57e-05,0.318,0.881,0.000392,0.0849,-6.974,0.0671,0.754,145.159
The Disease,3xz9fLCEwHJpWJdiwfy2wz,147.826,16,2,1,4,0.769,0.492,0.421,0.00101,0.181,-18.336,0.0511,0.401,118.483
All My Colours,1yfR9cQAKsyeWgtRWk3iT2,242.6,19,0,1,4,0.0327,0.572,0.848,0.493,0.069,-9.587,0.0461,0.634,117.885
No Dark Things,34x6aWpmE2Xmsri60IsdMS,268.866,13,4,1,4,1.33e-05,0.324,0.707,0.0149,0.133,-11.877,0.0309,0.746,135.77
Turquoise Days,1KcyUwdidCGAmhCOftm0tw,231.853,13,0,1,4,0.00414,0.696,0.334,0.00316,0.196,-11.553,0.0312,0.316,124.394
All I Want,4uVUa5yCpYwIiS6qouJiAz,249.946,11,0,1,4,0.0735,0.541,0.878,0.00917,0.239,-9.507,0.0348,0.507,136.948
