Help! - Remastered 2009,7DD7eSuYSC5xk2ArU62esN,139.56,72,6,0,4,0.188,0.534,0.725,0.0,0.0994,-7.576,0.0332,0.763,95.003
The Night Before - Remastered 2009,5xcfepnz1v7a83T8An9gjw,154.933,59,2,1,4,0.0537,0.461,0.762,0.0,0.238,-6.727,0.0379,0.632,84.496
You've Got To Hide Your Love Away - Remastered 2009,4F1AgKpuFRMLEgtPETVwZk,129.12,64,7,1,3,0.207,0.398,0.392,0.0,0.102,-9.05,0.0282,0.378,184.267
I Need You - Remastered 2009,5EzvwjFwdP5Kfl5AZAemzu,148.786,54,9,1,4,0.277,0.601,0.489,0.0,0.0988,-8.554,0.0455,0.638,136.215
Another Girl - Remastered 2009,7hefVXaGsFPesbK6fKwS6F,125.36,50,9,1,4,0.238,0.516,0.638,0.0,0.333,-7.453,0.0314,0.822,88.657
You're Going To Lose That Girl - Remastered 2009,70HNt0eoBVqr4ss68U8x3B,138.666,59,4,1,4,0.346,0.533,0.66,0.0,0.26,-7.694,0.0337,0.818,131.975
Ticket To Ride - Remastered 2009,7CZiDzGVjUssMSOXrDNYHL,189.68,65,9,1,4,0.0457,0.519,0.85,0.0,0.233,-6.777,0.0678,0.749,123.419
Act Naturally - Remastered 2009,0IxxqsYBcCHEQ1HqLYJnwx,150.373,49,7,1,4,0.366,0.702,0.447,0.0,0.153,-10.122,0.0308,0.944,93.02
It's Only Love - Remastered 2009,2ue1KRstSKHF8jQkIJZiNC,116.48,52,0,1,3,0.22,0.629,0.551,0.0,0.0432,-8.281,0.0256,0.685,113.155
You Like Me Too Much - Remastered 2009,0y1LLH0NiwOD5tM3aNMXTr,156.866,48,7,1,4,0.415,0.555,0.57,0.0,0.191,-7.869,0.0302,0.899,88.316
Tell Me What You See - Remastered 2009,2jnr9KaaMAmvk0zMcM9UzV,157.986,48,7,1,4,0.061,0.592,0.796,0.0,0.131,-8.125,0.0429,0.7,136.675
I've Just Seen A Face - Remastered 2009,788U1Sqej9M6c4iikuDGxO,125.04,62,9,1,3,0.723,0.647,0.56,0.0,0.118,-8.809,0.0387,0.913,120.418
Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI,125.666,77,5,1,4,0.879,0.332,0.179,0.0,0.0886,-11.83,0.0326,0.315,96.529
Dizzy Miss Lizzy - Remastered 2009,70Dohn82wv6VtxGesqRzbZ,176.506,48,9,1,4,0.116,0.373,0.934,0.00445,0.0962,-6.753,0.0591,0.918,136.037
