Needles In The Camel's Eye - 2004 Digital Remaster,79oH2M0vWq9bRYpNTCrlHu,191.053,44,1,0,4,0.00109,0.297,0.641,0.0385,0.757,-9.009,0.0545,0.202,132.088
The Paw Paw Negro Blowtorch - 2004 Digital Remaster,0CiIjL7ejCIHm5gBC98GyF,184.986,31,1,0,4,0.385,0.588,0.915,0.00397,0.273,-7.048,0.0386,0.641,127.287
Baby's On Fire - 2004 Digital Remaster,2PV9sorI2h94qEPke7SlGI,319.373,44,3,1,4,0.00338,0.454,0.8,0.00134,0.0937,-7.705,0.0402,0.43,121.818
Cindy Tells Me - 2004 Digital Remaster,5bF63YObFP3gfcIfbX84NH,205.413,32,5,1,4,0.35,0.599,0.67,8.52e-05,0.25,-7.269,0.0373,0.519,114.322
Driving Me Backwards - 2004 Digital Remaster,1t7Z0xvfYacqhSqkEi5XHe,312.146,30,8,1,4,0.063,0.413,0.649,0.000884,0.125,-8.745,0.0412,0.0726,138.553
On Some Faraway Beach - 2004 Digital Remaster,1ip0bzSgZsMrp7bSuxlKoa,276.026,38,0,1,4,0.211,0.456,0.675,0.159,0.141,-9.122,0.0314,0.369,99.805
Blank Frank - 2004 Digital Remaster,1HraOU4xyHqF6RrNW2zYUK,217.226,28,9,1,4,0.0322,0.458,0.949,0.942,0.649,-8.113,0.123,0.399,103.801
Dead Finks Don't Talk - 2004 Digital Remaster,2asnQKwHCVy0FT96Jw5H2x,259.573,32,0,1,4,0.056,0.497,0.526,0.37,0.563,-11.987,0.0543,0.705,177.282
Some Of Them Are Old - 2004 Digital Remaster,2JNxbnZV2CB8UXfTN13TeA,311.066,30,0,1,4,0.78,0.231,0.445,0.912,0.0788,-11.42,0.0316,0.077,172.74
Here Come The Warm Jets - 2004 Digital Remaster,5AiNr1E4t8n1T4NebVLKyK,244.773,37,0,0,4,0.199,0.285,0.615,0.906,0.105,-13.403,0.0429,0.474,128.774
