Tutti Frutti,2iXcvnD3d1gfLBum0cE5Eg,144.226,64,5,1,4,0.793,0.555,0.658,0.0,0.118,-3.866,0.0541,0.937,184.835
"True, Fine Mama",57xnHICRgvsCs2Ss6TmXWM,160.813,36,7,1,4,0.686,0.532,0.652,0.0,0.148,-6.572,0.0319,0.939,77.235
Can't Believe You Wanna Leave,0hcIJdHm8QWr0wHLmOaT5c,145.266,33,7,1,4,0.691,0.59,0.517,0.0,0.0686,-6.577,0.0377,0.963,83.133
Ready Teddy,5wbZ3sbWf4PppzZiRxkxou,126.68,43,5,1,4,0.673,0.532,0.678,0.0,0.103,-5.59,0.19,0.971,205.973
Baby,63Kd16SWsBZESL3obP300p,123.506,27,3,1,4,0.659,0.595,0.715,0.0,0.249,-5.123,0.0599,0.886,122.624
Slippin’ And Slidin’ (Peepin’ And Hidin’),5rMbcP1NsPtnpK3t9IIvNB,161.786,42,0,1,4,0.707,0.583,0.778,0.000604,0.1,-6.121,0.0556,0.964,175.834
Long Tall Sally (The Thing),507IFqPuG8mBQoKebfGG9t,127.426,63,5,1,4,0.755,0.474,0.608,0.0,0.0928,-5.139,0.0825,0.888,184.694
Miss Ann,51lhSlCjHp99AGbzGAmJCJ,134.866,28,7,1,4,0.676,0.653,0.528,0.0,0.236,-6.147,0.0471,0.783,110.744
Oh Why?,1NMyrPadUq84YD88ZjkuOY,126.92,27,5,1,4,0.748,0.708,0.42,0.0,0.179,-7.225,0.043,0.869,116.613
Rip It Up,5tHFPtV7dT01fxDe2AhKjD,141.4,53,5,1,4,0.672,0.895,0.636,3.31e-06,0.0207,-6.043,0.06,0.967,95.922
"Jenny, Jenny",0PQKV9VdhgkJcPkwjKzVWs,121.946,33,5,1,4,0.664,0.698,0.694,0.0,0.244,-7.063,0.0537,0.839,88.709
She's Got It,58c3bBDqxPiTYqEZNs3ISe,146.04,32,5,1,4,0.691,0.587,0.61,0.0,0.281,-6.307,0.0527,0.962,112.28
Tutti Frutti - Take 2,1QcMOxtulY0MdvpTwkrdlj,92.146,23,0,0,4,0.396,0.679,0.521,0.0,0.0903,-5.781,0.0938,0.968,188.583
True Fine Mama - Incomplete Take,3b4MgoYVx3VMBbz7qgjQtd,71.4,20,7,1,4,0.711,0.605,0.591,0.0,0.356,-7.041,0.0409,0.895,74.484
Can’t Believe You Wanna Leave - Take 6,5Se2oZWMvjiUdkPaKDA5oG,146.066,20,0,1,4,0.36,0.611,0.592,0.0,0.0551,-6.159,0.0422,0.97,125.039
Can’t Believe You Wanna Leave - Take 8,66MtDmMot99JBvKE6LCnGH,143.773,19,0,1,3,0.331,0.614,0.506,0.0,0.182,-6.671,0.0371,0.971,127.481
Ready Teddy - Take 1,5BpeEwjXmnx6vnJjCjXcTJ,93.28,20,5,1,4,0.351,0.592,0.517,0.0,0.0645,-4.98,0.155,0.974,200.226
Ready Teddy - Takes 2 & 3,3z86bzyJnu1T1z0wrgRPNf,129.96,18,0,1,4,0.242,0.726,0.497,0.0,0.0765,-5.21,0.351,0.895,104.614
Baby - Demo,7x01v25xO2lZsrjLQYtBzI,258.8,22,0,0,4,0.962,0.613,0.463,0.00247,0.168,-10.391,0.0787,0.696,96.961
Baby - Take 1,55IPY64NIPaDPrn1RQiJY3,143.053,18,7,1,4,0.706,0.572,0.614,4.96e-06,0.0944,-7.715,0.0401,0.962,127.72
Slippin’ And Slidin’ - Demo,6Md3mCPhOPktDA8XHShLBz,107.56,18,0,1,3,0.862,0.576,0.271,0.000157,0.195,-9.208,0.0749,0.937,146.31
Slippin’ And Slidin’ - Piano & Drums Demo,1w5xTKlPd7PLvCzPPjvZgT,118.08,17,0,1,4,0.4,0.759,0.897,0.00117,0.0861,-8.12,0.0401,0.962,146.683
Long Tall Sally - Take 1,5SD7miDCf9TfIf9EXm9mnQ,121.586,19,0,1,4,0.776,0.549,0.447,0.0,0.0383,-7.043,0.0479,0.961,147.225
Long Tall Sally - Take 6,6fhbjSQhE3FEV6OSP86tUq,127.666,18,0,1,4,0.85,0.413,0.604,2.62e-06,0.261,-6.75,0.0474,0.965,162.215
Miss Ann - Demo,2Eh1bq78aHNt4Hww1813zI,103.786,16,7,1,4,0.693,0.495,0.358,0.000122,0.14,-8.439,0.0427,0.878,118.143
Miss Ann - Take 1,3oQI89ONOFsbdo8mkm80fE,149.453,16,7,1,4,0.758,0.735,0.562,0.0,0.307,-6.856,0.0345,0.893,99.812
Miss Ann - Take 6,6QrU8UgTSJ4a3zSUIgLi4v,171.373,16,0,1,4,0.576,0.717,0.812,0.0,0.151,-7.756,0.0613,0.753,136.004
Oh Why? - Takes 3 & 4,6DuVwsAF7c4hZ4S2NzSrvG,143.173,16,0,1,4,0.547,0.695,0.339,0.0,0.196,-8.351,0.0569,0.808,116.543
Oh Why? - Take 9,3mDLxAXu51ZyB9u3YJNYXM,134.906,15,0,1,4,0.645,0.663,0.447,0.0,0.091,-7.312,0.0624,0.811,118.323
Rip It Up - Take 1,19gu3jp9UVF00F7M2cABpW,75.6,16,0,1,4,0.309,0.671,0.397,0.0,0.512,-8.498,0.409,0.6,90.585
Rip It Up - Take 3,3U4ita3fiMtRAn13mLieth,140.36,16,5,1,4,0.455,0.605,0.588,1.48e-06,0.0483,-4.207,0.236,0.893,184.159
Rip It Up - Take 4,64KSEeZCZ3QVlU7I9GoDyo,108.426,16,10,1,4,0.126,0.836,0.595,4.09e-06,0.139,-7.047,0.437,0.692,93.906
Rip It Up - Take 6,6T947IlRsQcjZRbPyFqR18,190.826,16,10,1,4,0.316,0.877,0.638,1.24e-05,0.0695,-4.03,0.133,0.897,94.599
She’s Got It - Alternate Version,0sfwNKZLLDi5521d0ZjHmf,148.186,17,10,1,4,0.764,0.599,0.568,0.0,0.108,-7.081,0.0724,0.898,111.575
