"Here, My Dear",4dp7KYMJq77cSgUvfLDQjJ,168.64,28,3,1,3,0.684,0.333,0.453,1.05e-05,0.589,-13.523,0.0351,0.576,184.838
I Met A Little Girl,7xxLlugPb3WJNxQuv5O8JN,303.8,27,3,1,3,0.567,0.513,0.267,0.000616,0.0793,-14.332,0.0362,0.216,153.738
"When Did You Stop Loving Me, When Did I Stop Loving You",2IdS2N8pRTne8tgMOFoUqB,377.466,34,5,0,4,0.478,0.698,0.57,0.0,0.0769,-11.532,0.0553,0.58,109.927
Anger,5wYNGDiCzNDXorLIU9LlYr,244.36,25,4,0,4,0.543,0.74,0.814,6.38e-06,0.231,-11.245,0.0805,0.757,95.954
Is That Enough,3yYVJTOQWoTiGvFSSYoMpZ,467.866,45,10,0,4,0.0306,0.564,0.573,0.00577,0.0587,-11.365,0.0326,0.7,137.778
Everybody Needs Love,33jGdarzkg6rOSSJjCN8DM,348.573,24,5,0,3,0.477,0.601,0.506,1.93e-06,0.185,-12.024,0.0662,0.457,95.3
Time To Get It Together,5TZDMOpcRWFDHQWL8czgiX,235.293,25,10,0,4,0.111,0.667,0.507,1.52e-06,0.0716,-12.714,0.0449,0.805,94.732
Sparrow,1rCo0xUGMYYjaAYbQGVcDw,372.958,25,0,0,4,0.222,0.583,0.414,0.000112,0.0649,-11.677,0.0308,0.465,130.368
Anna's Song,2NM4ZRHdJF4KkEJIfHgK5B,356.0,24,0,0,3,0.0981,0.519,0.415,0.000672,0.227,-13.78,0.0305,0.644,147.419
"When Did You Stop Loving Me, When Did I Stop Loving You - Instrumental",5MmqoR1P4LUcFtkZQOXn7G,363.733,21,5,0,4,0.423,0.652,0.584,0.0189,0.0547,-12.593,0.0408,0.488,109.493
A Funky Space Reincarnation,6X6NFe1YgFCXPiMozNSPzL,498.733,28,7,1,4,0.427,0.781,0.599,0.000189,0.0733,-12.666,0.0705,0.843,96.069
"You Can Leave, But It's Going To Cost You",25Zk0rS6BeMgmJJto2TTxP,332.733,23,8,0,4,0.322,0.713,0.648,1.43e-06,0.282,-10.845,0.0374,0.76,98.987
Falling In Love Again,3gFZN5fyASfrIJudJYeobL,279.01,24,5,0,4,0.332,0.637,0.526,0.000183,0.558,-11.92,0.0356,0.709,91.535
"When Did You Stop Loving Me, When Did I Stop Loving You - Reprise",6zKVkRB9XGPiClG44lK1Au,44.493,19,5,0,4,0.753,0.676,0.368,0.0184,0.132,-17.064,0.0629,0.183,109.007
