Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,208.4,84,6,0,4,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,0.423,115.728
Girls Got Rhythm,6Wn3pdFtAcnYJyJVITwt7N,203.293,63,4,0,4,0.0513,0.512,0.979,0.00102,0.358,-4.267,0.156,0.535,137.794
Walk All Over You,5xquYn2sr3uEcyuKU9BmCJ,310.0,56,9,1,4,0.00791,0.233,0.87,0.0198,0.251,-4.653,0.0643,0.409,162.003
Touch Too Much,2j0zExWFB0PowLOeoZosjK,266.266,64,7,1,4,0.037,0.524,0.906,3.64e-05,0.309,-4.301,0.0963,0.605,123.1
Beating Around the Bush,7sZKoFbEu4mPuCMX5cxLSb,235.706,51,1,0,4,0.00102,0.476,0.889,0.102,0.17,-5.733,0.1,0.493,115.754
Shot Down in Flames,6pivm7pNF4GyBkHNGseHCS,202.866,56,7,1,4,0.00164,0.531,0.864,0.132,0.884,-4.534,0.08,0.665,130.722
Get It Hot,7HbHwtTGM3kCjDtmP00x4h,154.506,49,3,1,4,0.000514,0.648,0.831,0.564,0.0951,-4.635,0.0329,0.834,129.855
If You Want Blood (You've Got It),7zscdQe9CjzXnqT3P1Ey7K,274.226,62,2,1,4,0.0311,0.487,0.932,0.149,0.43,-4.001,0.117,0.54,141.243
Love Hungry Man,1Kbc8nH6BhsWnTuM22qypl,257.173,58,1,1,4,0.0019,0.511,0.838,0.0653,0.24,-5.026,0.0516,0.551,120.181
Night Prowler,7w04gIWA7mIbqR03Ghyrkl,387.96,51,6,1,3,0.024,0.251,0.73,0.0137,0.181,-5.002,0.0615,0.482,197.304
