Don't Worry Baby,5CA51pIAlOtnA6qDvTEmjs,169.906,34,11,0,4,0.15,0.36,0.801,0.00618,0.0551,-9.499,0.0729,0.829,187.859
A Matter of Time,1brJMhR7bVsCv9YigwkSka,233.133,26,9,1,4,0.177,0.692,0.466,8.32e-05,0.0892,-11.374,0.032,0.752,122.432
Corrido #1,7vNIQasUplEmSaZLRYYvxN,162.293,20,7,1,4,0.042,0.638,0.808,0.00052,0.308,-8.784,0.0387,0.963,143.527
Our Last Night,5qGZ8VM6zI9oNcMISlBR6u,188.666,21,0,1,4,0.0608,0.58,0.645,4.72e-06,0.0481,-9.146,0.0358,0.944,155.63
The Breakdown,1eXpyp1zhflryk01VKTpWC,253.773,19,7,1,4,0.0278,0.644,0.695,0.0177,0.0515,-12.311,0.0527,0.96,161.092
I Got Loaded,6g8ghvn0y9iAORVJ1ARg0J,204.0,36,0,1,4,0.119,0.538,0.731,0.000185,0.0532,-9.999,0.0621,0.948,176.637
Serenata Nortena,3fsoy6JnwelplA7CEqUyJz,173.066,28,7,1,4,0.189,0.695,0.699,1.43e-06,0.312,-9.561,0.0698,0.943,140.416
Evangeline,17G0Er8onvPg7TMqNCIaUU,163.026,27,2,1,4,0.118,0.434,0.677,0.000706,0.327,-8.458,0.0432,0.946,181.036
I Got to Let You Know - Remastered Version,1523ZCvrzQoJAeWcFD2txK,156.84,17,7,1,4,0.0689,0.606,0.859,3.88e-06,0.0631,-8.972,0.0356,0.97,150.395
Lil' King of Everything,1EyX6pTtJ4y1Sv5VIusutY,81.56,18,7,1,3,0.541,0.368,0.427,0.932,0.0993,-14.605,0.0516,0.318,171.551
Will the Wolf Survive?,1p6OGxxPyfJPV459PdEBjM,222.306,37,7,1,4,0.0482,0.737,0.695,0.00359,0.0674,-7.886,0.0301,0.844,135.986
