Shake For Me,5kj3Q1fVwgb2f8SxFT6bD5,139.76,25,11,0,4,0.547,0.747,0.552,0.0,0.133,-13.592,0.0455,0.969,123.864
Little Red Rooster,22o1qy3iZ7CyXUdK6BIf2n,149.4,39,9,1,4,0.761,0.546,0.185,1.1e-06,0.218,-18.752,0.0409,0.682,69.028
You'll Be Mine,6wZ3ovfn503Aj6nLoiSSuC,150.933,22,9,0,4,0.54,0.561,0.446,0.00313,0.151,-15.719,0.039,0.824,110.982
Who's Been Talking?,7aHS9MdIBgmkedKRFhjFEK,146.173,26,9,0,3,0.923,0.573,0.303,0.00403,0.106,-14.819,0.046,0.617,102.715
Wang Dang Doodle,1TrOTKixl3cYx8FICICXzK,147.4,35,11,0,4,0.717,0.403,0.653,0.0,0.203,-13.305,0.037,0.739,93.421
Little Baby,0JeHI9bAxvgT64ITqNth2q,168.293,22,2,1,4,0.801,0.659,0.386,0.0,0.115,-14.485,0.0958,0.873,138.941
Spoonful,7j02rdE5RVtNcNMuLGY5SS,170.0,55,0,1,4,0.669,0.821,0.376,1.39e-05,0.106,-13.622,0.0487,0.824,119.039
Goin' Down Slow,4PI5yBLXgwdgRulNo4mQbt,207.333,28,2,1,1,0.682,0.527,0.417,0.000642,0.868,-14.285,0.0416,0.733,81.931
Down In The Bottom,7DMSEmQL1IUd0c7TnT2FTd,134.173,20,7,1,4,0.822,0.766,0.463,7.15e-06,0.345,-14.804,0.0393,0.878,116.094
Back Door Man,10HdfEE0sausAJu8HJD3Dp,173.533,41,9,0,4,0.747,0.528,0.592,1.13e-06,0.203,-14.041,0.0621,0.925,156.623
Howlin' For My Darlin',4LYZ56NfIsuIizQewrfEr9,156.96,29,2,0,4,0.716,0.558,0.312,2.44e-06,0.163,-17.257,0.0386,0.768,81.013
Tell Me,4FXCKc8P2n0UBW0KmQJEYS,178.333,20,0,1,4,0.686,0.695,0.429,0.000538,0.214,-16.161,0.0429,0.849,115.19
