Changes - 2015 Remaster,0LrwgdLsFaWh9VXIjBRe8t,217.746,65,0,1,4,0.505,0.547,0.308,0.0,0.109,-11.75,0.0377,0.41,114.719
Oh! You Pretty Things - 2015 Remaster,7Js4OF5MUb2bqJe09g4uQE,193.986,57,6,1,4,0.797,0.557,0.276,0.0,0.0984,-9.92,0.035,0.249,76.321
Eight Line Poem - 2015 Remaster,76CfWxdNh9k5ssABTxlmMJ,175.333,45,0,1,4,0.964,0.553,0.0227,0.000371,0.0881,-24.512,0.0427,0.154,116.457
Life on Mars? - 2015 Remaster,3ZE3wv8V3w2T2f7nOCjV0N,235.986,71,10,1,4,0.639,0.442,0.384,7.7e-05,0.0539,-14.635,0.0414,0.216,123.281
Kooks - 2015 Remaster,1w3W1hz6xVUSWkbh0paMgs,173.76,51,9,1,4,0.497,0.607,0.278,0.0,0.121,-17.749,0.0378,0.694,127.172
Quicksand - 2015 Remaster,63PgfGFgAZUEzwGouciEC5,306.48,46,2,1,4,0.344,0.422,0.245,0.0,0.0737,-17.091,0.0346,0.328,117.348
Fill Your Heart - 2015 Remaster,1p4krvaKEJWr3ou3D5IZQy,190.08,44,4,1,4,0.811,0.401,0.156,0.0,0.0844,-18.92,0.0375,0.501,156.785
Andy Warhol - 2015 Remaster,0SfYZJSWk4h00yzheOgeIQ,234.746,45,4,0,4,0.168,0.544,0.449,0.0,0.636,-16.498,0.0733,0.408,84.087
Song for Bob Dylan - 2015 Remaster,3rpuor3iDjfx0yOcSfE63v,253.093,43,4,1,4,0.166,0.422,0.46,0.0,0.0637,-15.41,0.0439,0.633,139.216
Queen Bitch - 2015 Remaster,2RDXq7AwoEpvrjsXe4zlUc,200.506,57,0,1,4,0.0248,0.599,0.636,0.0,0.0612,-13.084,0.0305,0.968,137.172
The Bewlay Brothers - 2015 Remaster,0sJXU4olfMR2SvULxarpoW,329.586,44,7,1,4,0.379,0.533,0.102,0.0,0.0511,-21.74,0.0456,0.19,119.788
