Women,6TeFG5QolOlRnC8i5a1u0t,342.51,46,2,1,4,0.00215,0.52,0.916,0.0236,0.318,-5.772,0.0392,0.388,86.414
Rocket,0RVeadY2MbHz4Pe4MreLNw,396.823,54,11,1,4,0.000249,0.521,0.916,0.00116,0.948,-6.822,0.0467,0.398,81.998
Animal,4qjscZh4jfhkpcQG4ZQfi2,244.56,62,11,1,4,0.00153,0.583,0.921,0.0178,0.188,-5.215,0.0468,0.613,119.526
Love Bites,4qWizh4UB8BuSypZ3T1zAz,346.96,50,0,0,4,0.067,0.59,0.743,0.00093,0.0847,-7.078,0.0347,0.412,129.79
Pour Some Sugar On Me,1aZLIbKEdsyqxyD6iNcrbA,267.306,60,1,0,4,0.00211,0.267,0.953,0.0,0.283,-4.899,0.096,0.568,84.989
Armageddon It,3ybF6Iaia01EbXg5VmxPcb,322.866,49,9,1,4,0.000798,0.65,0.921,0.0298,0.134,-6.014,0.0359,0.648,119.8
Gods Of War,04fSMvH0SLmdykyg06rXC3,397.813,49,2,1,4,0.000729,0.581,0.812,0.00766,0.148,-7.045,0.0348,0.355,108.901
Don't Shoot Shot Gun,4IB9c8FQ2VNutSWdgkw0Ys,266.79,42,9,1,4,0.000157,0.589,0.906,0.0174,0.321,-5.19,0.0479,0.514,130.918
Run Riot,27psq6wsPV4Yyo4eg6HZ8z,279.3,42,2,1,4,5.03e-05,0.445,0.962,0.26,0.448,-4.121,0.0786,0.418,75.569
Hysteria,2PFIZFcGry0po3ZfRZkzKc,354.636,68,7,1,4,0.0318,0.659,0.846,0.0144,0.203,-5.508,0.0274,0.659,107.01
Excitable,07FG0741wKv9I9kphNf9lO,259.341,45,11,0,4,0.00548,0.641,0.975,0.00793,0.0828,-5.448,0.0474,0.585,134.034
Love And Affection,7zm4upLq0DrZlTHD2ELmQ6,276.91,44,2,1,4,0.00444,0.572,0.956,0.0331,0.28,-4.899,0.0286,0.798,104.034
