Respect,7s25THrKz86DM225dOYwnr,147.6,73,0,1,4,0.164,0.805,0.558,2.2e-05,0.0546,-5.226,0.041,0.965,114.95
Drown in My Own Tears,4ioNP12wZS8rcMZRf1vwko,247.733,45,7,1,3,0.321,0.523,0.351,0.0,0.181,-8.54,0.0346,0.286,130.881
I Never Loved a Man (The Way I Love You),1hES47PrbU8GPTI5A9lsr0,171.773,53,5,1,4,0.367,0.657,0.371,0.0459,0.157,-9.186,0.0359,0.709,134.867
Soul Serenade,7JTOzgSUnVvn4RagIEJjDn,159.066,42,8,1,4,0.364,0.649,0.296,7.76e-06,0.132,-9.389,0.0334,0.6,81.911
Don't Let Me Lose This Dream,6Ku82QCBc2uC0yfl7GJVVj,143.666,33,3,1,4,0.242,0.849,0.401,1.25e-05,0.104,-8.114,0.0436,0.554,125.836
"Baby, Baby, Baby",3eK8ej1lXMTWNsfqL5hJRv,174.76,36,2,1,3,0.327,0.586,0.318,0.0,0.153,-8.582,0.0307,0.585,150.836
Dr. Feelgood (Love Is a Serious Business),0xGcAq56TXf3RnSHkCiL9k,203.466,46,7,1,3,0.377,0.641,0.365,1.03e-06,0.194,-9.632,0.0332,0.356,141.597
Good Times,2B3p4UHHQ8i5elbErGgU6p,130.266,34,10,1,4,0.237,0.796,0.562,1.12e-06,0.0498,-8.126,0.0327,0.834,112.495
"Do Right Woman, Do Right Man",6cLEpgDcEldV1n9gusHQUX,196.64,47,9,1,3,0.706,0.668,0.284,0.0,0.131,-10.192,0.0413,0.491,134.911
Save Me,7mvKpoeI6sq6osDtSb9xcF,141.626,35,9,1,4,0.535,0.84,0.44,0.00581,0.105,-9.435,0.0499,0.531,120.221
A Change Is Gonna Come,4jeEaCq9omzcX5cOFKhT5O,260.106,53,10,1,3,0.398,0.529,0.307,2.38e-05,0.101,-10.608,0.0364,0.318,132.633
Respect,1DzKS1j1XiKJ5HN9bnFGO0,148.733,33,0,1,4,0.452,0.811,0.485,3.11e-06,0.101,-8.866,0.0461,0.956,114.843
I Never Loved a Man (The Way I Love You) - Stereo,6soyMRtt1bM1ba5e8Hg4o6,166.226,46,5,1,4,0.419,0.711,0.303,0.0158,0.125,-9.655,0.0419,0.663,135.172
"Do Right Woman, Do Right Man",3LX1JoS93qV30UCwGaXDhR,194.706,31,9,1,3,0.663,0.629,0.233,0.0,0.277,-13.291,0.0395,0.639,134.113
