When I Get To The Border,2Ftf7kLvRnYEPEh97DOhoz,207.266,28,0,1,4,0.203,0.518,0.631,0.01,0.0641,-10.186,0.031,0.661,75.736
The Calvary Cross,3Lmi7Ig7xjuft86AyoIpa9,233.44,33,9,0,4,0.344,0.631,0.302,0.00866,0.158,-13.428,0.0334,0.148,115.164
Withered And Died,3z0w6eCGxkznXMaH84xIEy,206.946,24,0,1,3,0.544,0.462,0.212,0.00556,0.095,-14.133,0.0265,0.196,86.436
I Want To See The Bright Lights Tonight,3jd3nPQtwKS3HY6A8XpXx5,189.586,44,0,1,4,0.295,0.66,0.457,0.000299,0.0557,-9.676,0.0343,0.862,139.572
Down Where The Drunkards Roll,6UAeM4hpfyirF8DsNfPqdQ,246.666,23,10,1,4,0.895,0.437,0.142,0.0137,0.111,-14.098,0.031,0.193,125.093
We Sing Hallelujah,6xMiwpe8UqpcqZMsBTmHYA,172.08,21,9,1,4,0.297,0.658,0.43,0.00518,0.0896,-10.811,0.028,0.688,124.48
Has He Got A Friend For Me,6iJWVeTLrpYnZ5tfRojdrD,214.026,21,10,1,3,0.745,0.5,0.168,0.381,0.109,-14.461,0.0302,0.214,95.855
The Little Beggar Girl,4aQafxX7TCbSs9N4k5Vomh,206.386,20,7,1,4,0.374,0.746,0.527,2.67e-05,0.0996,-10.504,0.0395,0.691,117.66
The End Of The Rainbow,2tzOYRTumJ4Xll3oF5j5KJ,237.253,21,0,0,4,0.782,0.586,0.211,0.38,0.115,-15.764,0.0335,0.163,122.553
The Great Valerio,73rPcneuz6AamhqnsLrapo,326.706,19,4,1,4,0.801,0.558,0.0727,0.00168,0.0998,-16.24,0.0357,0.0398,127.984
I Want To See The Bright Lights - Live,6vp84nlMW7eX3n6ChPN0Zm,196.466,17,0,1,4,0.235,0.653,0.586,0.00103,0.184,-11.989,0.065,0.816,143.71
Together Again - Live,3Rd4p66SlCFxrF135RRn2N,171.453,15,4,1,4,0.124,0.562,0.478,0.0947,0.72,-11.23,0.0334,0.796,82.145
The Calvary Cross - Live,57jPrJYzgSl7DGBFeXjiaV,596.12,16,9,0,4,0.374,0.378,0.343,0.0656,0.727,-12.527,0.0458,0.304,62.674
