"Monday, Monday - Single Version",46PzYzseHf3mSdkTMd8sgC,205.266,40,1,1,4,0.757,0.493,0.467,0.0,0.388,-11.183,0.0289,0.731,110.553
Straight Shooter,5mhxWFpwhV5Bza5EZnl2Gt,177.0,14,2,1,4,0.771,0.608,0.628,0.0,0.103,-10.976,0.0323,0.885,119.687
Got A Feelin',1tVkVu8AuDAFMI3rkUPdAp,168.773,17,10,0,4,0.908,0.587,0.245,0.00931,0.198,-18.043,0.028,0.501,99.837
I Call Your Name,1lfEbHqeqMpECZkH4q0RFy,156.2,11,9,1,4,0.8,0.406,0.42,0.0,0.273,-11.447,0.0352,0.646,108.688
Do You Wanna Dance,6vvtk2lpYisP1L3Myy2wVm,177.44,8,4,1,4,0.785,0.617,0.339,0.0,0.149,-12.068,0.0293,0.738,109.202
Go Where You Wanna Go,6vxJ8XwKBjOGCMl5ZdNIHG,147.133,11,7,1,4,0.411,0.488,0.584,0.0,0.313,-10.254,0.0269,0.683,105.214
California Dreamin',63rva3TBizr6x1Yp5uwKfD,157.96,51,1,0,4,0.628,0.554,0.667,0.0,0.0486,-10.226,0.0342,0.597,112.749
Spanish Harlem,4JfKcrVaDPhklMKFdt5Z2S,197.093,12,1,1,4,0.798,0.448,0.374,1.9e-06,0.417,-11.522,0.0277,0.313,106.773
Somebody Groovy - Single Version,3BgeFyh77wCCAUPlC68YLY,193.76,10,10,1,4,0.349,0.58,0.637,0.00107,0.0778,-12.707,0.0312,0.809,116.393
Hey Girl,5RYIYCRWRpSMosbP77utg9,145.2,8,6,1,4,0.393,0.783,0.511,0.0,0.0901,-11.958,0.0464,0.892,114.04
You Baby,0NYEvAnp1KbW9jmR9s8kWg,139.866,9,10,1,4,0.64,0.634,0.561,0.00165,0.0618,-11.15,0.0444,0.945,122.654
"The ""In"" Crowd",2BleSWarmE36dSUjVu4SHi,192.0,7,5,1,4,0.755,0.526,0.564,4.4e-06,0.173,-11.807,0.0353,0.586,118.838
