Imagine - Remastered 2010,7pKfPomDEeI4TPT6EOYjn9,187.866,78,0,1,4,0.907,0.547,0.257,0.183,0.0935,-12.358,0.0252,0.169,75.752
Crippled Inside - Remastered 2010,5CG4RXjli90Zd1KDalPqeK,232.626,47,0,1,4,0.193,0.545,0.608,0.0699,0.0769,-9.372,0.0369,0.681,165.617
Jealous Guy - Remastered 2010,3D9iV6cYkYJRAPFO6DRKIE,257.786,66,4,0,4,0.877,0.489,0.389,0.32,0.105,-11.653,0.0284,0.254,131.366
It's So Hard - Remastered 2010,0YPyhXgtDks7BQozBSGCk4,149.08,43,2,1,4,0.0137,0.754,0.391,0.612,0.244,-10.373,0.0381,0.942,82.372
I Don't Wanna Be A Soldier Mama - Remastered 2010,16euYyM9iFZqOk3p9bnsEW,368.48,42,4,0,4,0.00629,0.305,0.834,4.19e-05,0.0743,-9.507,0.0586,0.521,162.706
Gimme Some Truth - Remastered 2010,3d2oiHuHm3rftzRDPeL5LU,197.813,50,5,1,4,0.106,0.561,0.783,0.0214,0.0812,-8.878,0.0366,0.768,133.518
Oh My Love - Remastered 2010,0gDyuX5rdHulQTUyrIdSR1,168.106,54,9,1,4,0.985,0.529,0.104,0.291,0.109,-19.669,0.0392,0.183,135.235
How Do You Sleep? - Remastered 2010,7xsr2OppItxPB4whucYr2G,339.186,50,9,0,4,0.0494,0.585,0.517,0.0235,0.245,-10.269,0.0275,0.714,131.412
How? - Remastered 2010,4k9pqSKBHYdTGjzNeRyQ0o,226.28,46,7,1,4,0.885,0.545,0.352,0.0625,0.198,-14.425,0.048,0.206,74.163
Oh Yoko! - Remastered 2010,2pNwQBjJppt8v3sZojH1aj,260.746,53,1,1,4,0.299,0.587,0.842,0.51,0.268,-10.463,0.0302,0.794,85.297
