Hello There,0P1jQfRErBjgOSTbVKtCW7,100.826,44,9,1,4,0.00685,0.297,0.915,2.36e-06,0.303,-9.236,0.0455,0.692,174.145
Big Eyes,55y1iWRf5JBZQIbb69Vr7m,188.6,30,4,0,4,0.000522,0.629,0.521,0.45,0.0979,-9.558,0.0304,0.658,128.203
Downed,7hUtGcxKSSzb5ezVx5QlVt,250.573,29,7,1,4,0.00275,0.452,0.674,2.6e-05,0.0911,-11.886,0.0313,0.417,124.012
I Want You to Want Me,1JkZg3eMQTmTn93E8Yd3UL,191.226,71,2,1,4,0.78,0.806,0.462,0.0134,0.15,-12.778,0.0298,0.736,92.726
You're All Talk,3WaRGIBMhgbwzfH36MsQDZ,214.733,24,0,1,4,0.0111,0.617,0.589,0.0182,0.0528,-11.214,0.0378,0.931,127.162
Oh Caroline,2pe3KkzSYohFQVlHdpYDka,179.44,26,7,1,4,0.142,0.678,0.638,9.62e-06,0.224,-11.073,0.0285,0.921,125.083
Clock Strikes Ten,2vA4FfnNLGvOZedbsyX4Rv,179.226,25,9,1,4,0.0302,0.361,0.854,0.000755,0.128,-10.648,0.044,0.899,164.044
Southern Girls,18IL1LfIsEHqmj17rnlw8K,223.8,36,4,1,4,0.00103,0.458,0.644,0.0,0.0701,-11.064,0.032,0.616,155.487
"Come on, Come On",3bMYpXiFnKhVKnLz9RHna1,159.306,31,9,1,4,0.00811,0.546,0.855,9.42e-05,0.36,-9.79,0.0414,0.846,131.133
So Good to See You,4kBfdJ8EqlwCGamQltH8RT,216.466,24,4,1,4,0.1,0.561,0.71,0.00169,0.104,-9.803,0.0324,0.677,124.803
