It's A New Day - Pt. 1 & 2,6dy9YDLSjuxfRVa0LgYkJi,382.4,30,10,1,4,0.763,0.833,0.923,7.37e-05,0.122,-4.303,0.232,0.916,116.289
Funky Drummer - Pt. 1 & 2,6HQEGsvQnuFeKCPO9ubwIJ,553.253,27,7,1,4,0.168,0.675,0.691,0.406,0.0545,-7.42,0.108,0.462,98.321
Give It Up Or Turnit A Loose - Remix,5TQcUuSZ9VUXCxGdVj7VxO,369.96,35,11,0,4,0.00964,0.703,0.88,0.456,0.111,-7.133,0.0608,0.743,114.763
I Got To Move,5REpnhULQKrT1MWF0W7SOr,435.16,16,2,1,4,0.089,0.753,0.639,0.0105,0.0325,-8.428,0.126,0.866,90.458
Funky Drummer - Bonus Beat Reprise,16YXfPrJmS4hdWlSIpTCID,176.533,31,10,0,4,0.0267,0.76,0.709,0.698,0.0558,-8.443,0.099,0.147,98.9
Talkin' Loud And Sayin' Nothing - Remix,6sbq3WmLpdGwef0IUmSv7C,462.653,18,10,0,4,0.385,0.798,0.833,1.24e-05,0.266,-6.063,0.0846,0.856,101.846
"Get Up, Get Into It, Get Involved - Pt. 1 & 2",5lVuPCtegBtsRltgKZadXx,425.733,23,2,1,4,0.478,0.759,0.984,0.00132,0.113,-3.76,0.153,0.926,107.947
Soul Power - Re-Edit / Mono,4eApgC6STs3pTvUcoQkILV,480.48,21,7,1,4,0.438,0.867,0.761,0.000502,0.0779,-5.856,0.0534,0.921,105.275
Hot Pants (She Got To Use What She Got To Get What She Wants),4eoYCKF7hXfEoXk9O74HiI,521.773,12,10,0,4,0.00324,0.793,0.725,0.0,0.35,-5.999,0.063,0.75,106.347
Blind Man Can See It - Extended,0Zoscqzid1bL1ub0ObS0aY,439.426,23,0,0,4,0.34,0.752,0.527,0.128,0.143,-10.091,0.0651,0.666,97.524
