In The Wee Small Hours Of The Morning - Remastered 1998,0Hsc0sIaxOxXBZbT3ms2oj,180.933,61,0,1,4,0.856,0.29,0.0874,0.000957,0.109,-16.119,0.0346,0.0734,114.997
Mood Indigo - Remastered,2LuKtTtotMk41MxesmjCdR,210.066,35,5,1,4,0.823,0.343,0.0859,0.000669,0.373,-17.067,0.0338,0.233,130.762
Glad To Be Unhappy - Remastered,0nyElOCpUSqLyzg1cD6dQe,155.493,36,5,1,4,0.902,0.502,0.0342,0.0,0.0928,-17.64,0.0394,0.284,126.754
I Get Along Without You Very Well - Remastered,1HauTmjjJwBoSGQZc1mBs3,222.6,35,9,1,4,0.8,0.206,0.0611,1.11e-05,0.323,-20.375,0.0352,0.129,87.635
Deep In A Dream - Remastered,0uPvnhU6hNx8O4M79x8hyN,169.373,34,3,1,3,0.937,0.25,0.0653,0.00161,0.162,-18.691,0.035,0.193,87.414
I See Your Face Before Me - Remastered,0j1UxPCe71DJKqPf0I4gnp,204.026,33,1,1,5,0.834,0.238,0.097,2.7e-05,0.316,-17.153,0.0318,0.0762,96.803
Can't We Be Friends? - Remastered,4AQB49A23jczbliZt3hecP,168.04,33,1,1,3,0.912,0.494,0.0504,0.0,0.109,-16.794,0.0419,0.208,104.52
When Your Lover Has Gone - Remastered,7MArMyd4wBWp26BbVKIVTt,190.2,32,5,1,1,0.861,0.188,0.0661,6.15e-05,0.0712,-17.54,0.0375,0.0749,175.998
What Is This Thing Called Love - Remastered,2t8g0EVWMHXQCVlVGOoD9I,155.56,35,9,0,4,0.86,0.277,0.135,0.000822,0.334,-16.009,0.0364,0.115,118.248
Last Night When We Were Young - Remastered,1B2TpaqiSZq4tUb6Yw2Nbs,197.133,31,2,0,4,0.845,0.234,0.0976,2.3e-05,0.123,-15.809,0.0369,0.0585,110.127
I'll Be Around - Remastered,4G45Px24nxqufkD3C9oka1,179.2,32,10,1,4,0.946,0.411,0.03,0.0,0.117,-17.979,0.0333,0.209,73.19
Ill Wind - Remastered,32hDx1cqvT0xH4sZmFpOy6,226.306,30,7,1,4,0.904,0.331,0.0967,0.000137,0.0818,-16.826,0.0331,0.111,66.541
It Never Entered My Mind - Remastered,0qOfjIfB4VQk7DwNcxngcd,162.226,31,2,1,3,0.966,0.187,0.109,0.000304,0.108,-17.916,0.0377,0.231,177.865
Dancing On The Ceiling - Remastered,5ULYx08qqXmqtJZxihEh6p,177.333,30,5,1,4,0.921,0.439,0.0926,0.0,0.152,-15.841,0.0377,0.264,134.892
I'll Never Be The Same - Remastered,5YPX6eqYX5RGOkINOENFlT,185.866,30,6,0,3,0.975,0.217,0.15,0.00135,0.124,-15.529,0.0338,0.152,91.761
This Love Of Mine - 1998 Remastered,50nTFflqRL8dchBcvHC5rh,213.933,30,10,1,1,0.822,0.138,0.149,1.35e-05,0.129,-15.801,0.0352,0.135,74.387
