Marcianita,2HFJV3m4owUlISyu8Ot91Q,152.226,11,1,1,4,0.613,0.699,0.483,0.0,0.0946,-6.82,0.319,0.748,103.891
Do-Re-Mi,1ngsGcXoQcB0dAJ3Ruyc4Q,168.693,2,5,1,3,0.858,0.476,0.428,0.0,0.11,-5.256,0.0334,0.46,117.2
Put Your Head On My Shoulder,5ecbR5fBdLKA4GhwmIi0wD,143.826,3,5,1,3,0.916,0.46,0.346,0.000185,0.137,-7.038,0.0357,0.679,121.744
Lua Azul (Blue Moon),5GGsN0pl7g7UGoYmflvVWR,181.36,1,8,1,3,0.936,0.409,0.324,0.000768,0.0747,-8.335,0.0396,0.643,201.782
The Diary,23sHGDXP4yGKALkb1PsLk2,125.426,24,5,0,4,0.804,0.432,0.489,4.53e-06,0.237,-6.528,0.031,0.676,124.798
Menino Triste,5sNVYvzp5vfhGLh0LfRLhJ,195.6,0,10,1,4,0.646,0.323,0.424,0.0,0.357,-6.858,0.032,0.299,97.096
"Se Eu Soubesse (Sobre ""O Lago dos Cisnes"" de Tchaikovsky)",6rWIgcV7Lua336hfCapsyK,150.333,1,4,0,4,0.918,0.23,0.342,0.0133,0.322,-7.668,0.0294,0.272,80.491
É Meu Destino Amar (I'm In The Mood For Love),2WdJosadbPpZkHOMP9tOCY,186.666,1,4,1,3,0.913,0.504,0.479,1.41e-06,0.809,-5.15,0.0312,0.693,110.04
Oh! Carol,5mjFyS5tKQmpGsPbZVIbMZ,128.106,4,8,1,4,0.713,0.66,0.61,0.0,0.293,-4.745,0.0351,0.944,140.931
Estupido Cupido (Stupid Cupid),77vgYkd20hmifXOi8EkMXV,128.6,3,7,0,4,0.642,0.658,0.484,0.0,0.0992,-4.653,0.106,0.936,133.404
Personality,06wCrGkwP2Ii2CQtQvFeS2,153.16,24,3,1,4,0.753,0.55,0.414,0.0,0.114,-5.46,0.0423,0.7,136.985
Mudou Muito,7GcQOt6hn1EioTKoRg1Zjq,162.466,0,8,0,4,0.634,0.446,0.513,0.0,0.343,-4.484,0.0272,0.535,100.11
Broto Legal (I'm In Love),7kkIAIAKqHp3lb1XhPUG6x,122.693,25,11,1,4,0.662,0.716,0.505,0.000773,0.0318,-9.069,0.495,0.907,168.302
Something Happened,0LzGFYTol4wKPAPTCDatnj,148.973,0,3,1,4,0.943,0.414,0.177,6.93e-05,0.241,-12.779,0.0327,0.619,76.421
Quando Ela Sai (Shy),2MNJTsatKc7RLjWsawExj4,105.533,0,11,1,4,0.722,0.621,0.287,0.0,0.191,-11.639,0.0487,0.925,130.905
Ding-A-Ling,5ZdXnliumKbXumD4AnGYrE,152.76,0,7,1,4,0.835,0.658,0.275,0.0,0.434,-10.657,0.0425,0.738,132.03
Trem Do Amor (One Way Ticket To The Blues),48r2Yv51dLWhBND2fpQxoK,143.333,24,7,0,4,0.842,0.702,0.567,6.64e-06,0.0712,-9.897,0.0384,0.961,125.925
It's Time To Cry,137LlsC7lI5he7ApljzNjo,136.533,24,1,1,4,0.912,0.454,0.335,0.000461,0.109,-9.868,0.0294,0.498,113.627
Pagando Trinta (Love Song From Beauty and the Beast),3UVXfSS6VNhpPjcgXYMOPp,169.733,1,10,1,4,0.92,0.561,0.173,7.33e-05,0.115,-13.233,0.0471,0.415,114.085
My Home Town,27LICMkrNKktdHpq0QL9Oy,138.24,24,10,1,4,0.872,0.661,0.332,1.02e-05,0.502,-10.788,0.04,0.965,128.204
Querida (Belive Me),3CtWH402SJKS5XiKovIBQd,146.626,25,0,1,4,0.845,0.536,0.445,0.0,0.297,-8.13,0.0416,0.339,93.014
"Shimmy, Shimmy, Ko-Ko-Bop",7CCHh7Yq8wcTXGF8Afo4rs,121.066,2,2,0,4,0.702,0.676,0.637,0.0,0.066,-8.147,0.0421,0.768,125.997
O Rock É Bom De Dançar (You Gotta Learn Your Rhythm and Blues),5gEqIpmg2LjAmSKMx4Ye2A,129.44,1,5,1,4,0.777,0.643,0.348,0.00129,0.0957,-12.576,0.216,0.93,157.058
Pretty Blue Eys,1DF0eF1r0WZ0GC2biC9ALO,116.16,1,3,1,4,0.852,0.677,0.396,0.00229,0.361,-10.953,0.0305,0.845,124.709
Rock De Morte,6OZ7YEtemgnvIt40tKppqm,84.84,1,9,1,4,0.804,0.719,0.485,0.0,0.156,-10.941,0.0744,0.925,102.475
