Bamboo Banga,6tqFC1DIOphJkCwrjVzPmg,298.36,39,9,1,4,0.0493,0.805,0.918,0.0,0.0691,-4.554,0.212,0.713,125.984
BirdFlu,2YtHnsmkEl5K7m3M6xYRCm,204.613,35,11,0,3,0.257,0.776,0.864,0.000454,0.154,-7.641,0.24,0.76,113.937
Boyz,0RskWSD58JxWBBG3JjVKLU,207.466,44,6,0,4,0.00141,0.632,0.855,1.53e-06,0.681,-6.88,0.224,0.618,133.064
Jimmy,4LiSyndyqk8mWXZzVUSF1F,209.213,42,6,0,4,0.00258,0.689,0.807,1.32e-06,0.0971,-4.551,0.0317,0.822,124.278
Hussel,6ESZq1wnKJDfqu9VeoLwWv,265.48,34,8,1,4,0.355,0.722,0.763,0.0,0.0861,-6.829,0.143,0.569,114.778
Mango Pickle Down River,1pefrMUXJzn0xdsPX0BcBM,233.653,35,2,1,4,0.371,0.85,0.444,0.00303,0.165,-9.122,0.328,0.573,95.702
20 Dollar,77tCAw2hF4sxQiPIInmg5N,274.093,36,7,1,4,0.000132,0.524,0.89,0.00303,0.356,-6.513,0.0612,0.426,119.815
World Town,7GFg8EqnhrlZiY1tjRieOu,233.6,37,7,1,4,0.000159,0.834,0.865,0.143,0.171,-7.873,0.132,0.672,133.012
The Turn,06FYoZoOLjtL7xGdBxBhB6,232.413,29,9,0,4,0.671,0.682,0.629,0.00275,0.23,-6.665,0.0971,0.375,177.284
XR2,0BmfqleebHWBFi7ApxXfhH,260.693,36,2,1,4,0.00776,0.852,0.929,0.777,0.0746,-3.97,0.0737,0.204,130.036
Paper Planes,1wgqttlPacpvmX5DKVboOa,205.2,77,2,1,4,0.033,0.447,0.848,7.45e-05,0.65,-6.175,0.222,0.485,172.247
Come Around,6Fs41sN4bnd9ghw7bkJpyc,234.173,50,8,1,4,0.307,0.852,0.852,2.34e-05,0.73,-6.842,0.0483,0.854,120.084
