Everything In Its Right Place,5AiNZnMDCWwujIENPj9PV9,251.426,65,5,0,5,0.699,0.293,0.462,0.0444,0.0954,-11.412,0.0453,0.0623,124.004
Kid A,4x7XJOE2ml2P3o3i77466j,284.506,56,5,1,4,0.261,0.63,0.429,0.85,0.309,-15.54,0.0356,0.168,112.93
The National Anthem,01UstUPbzPgq2MNp6h0tVo,351.693,59,2,1,4,0.00237,0.486,0.754,0.858,0.224,-8.552,0.0378,0.387,91.52
How To Disappear Completely,69pwmeyvQMuHMtkCmpEWhQ,356.333,62,6,0,4,0.315,0.168,0.302,0.79,0.11,-11.645,0.0344,0.205,102.041
Treefingers,4DPQvbgSM0IdX4O3HOACwL,222.6,63,6,1,3,0.827,0.157,0.145,0.886,0.109,-21.359,0.0354,0.0635,138.305
Optimistic,4DE6Wkt9fW7R5e9gJGWQim,315.973,55,7,0,4,0.0496,0.403,0.757,0.848,0.305,-9.931,0.0371,0.573,157.957
In Limbo,1NgvIjkEjkhcIR1pp5Qsir,211.0,52,0,1,4,0.674,0.375,0.634,0.828,0.135,-10.543,0.0317,0.502,89.752
Idioteque,7xqeIdLJSf3bgmZ7vUvHrE,309.093,60,3,1,3,0.0352,0.615,0.931,2.37e-05,0.0914,-7.8,0.24,0.53,137.544
Morning Bell,1HQYo8C5L0qd1p5f1anXPS,275.8,51,2,1,5,0.719,0.645,0.462,0.291,0.34,-12.124,0.0319,0.391,142.137
Motion Picture Soundtrack,0COiZ7ncho2yi4HotbzgPv,200.482,56,7,1,4,0.921,0.134,0.129,0.697,0.13,-16.128,0.0341,0.0435,93.668
Untitled,2YsJM80gRMAhCikUkNZT3G,52.694,48,7,1,3,0.992,0.327,0.225,0.813,0.106,-16.341,0.067,0.0766,63.422
