So What,4vLYewWIvqHfKtJDk8c8tq,562.64,63,0,1,4,0.705,0.517,0.151,0.00136,0.116,-17.266,0.0373,0.21,136.356
Freddie Freeloader,2x91iJc0UkFcjRMEZ2CoWB,586.4,55,8,1,4,0.703,0.638,0.186,0.00103,0.118,-15.831,0.0347,0.498,128.372
Blue in Green,0aWMVrwxPNYkKmFthzmpRi,337.733,66,2,0,4,0.81,0.421,0.0161,0.0021,0.0978,-25.358,0.0374,0.16,110.926
All Blues,5o3DSHw1ORhM3lWxqGRvEf,692.746,51,0,1,3,0.771,0.508,0.149,0.00474,0.115,-18.305,0.0313,0.365,139.444
Flamenco Sketches,6dRx7OUXfvosnXG3g9lWGi,566.133,55,2,0,3,0.899,0.349,0.0219,0.12,0.0906,-21.065,0.0425,0.224,177.92
Flamenco Sketches - Alternate Take,4QrQ1zC1UJW2i3GKbDeNTT,571.56,44,2,0,4,0.916,0.35,0.0275,0.0467,0.108,-19.576,0.0459,0.234,58.013
Freddie Freeloader - Studio Sequence 1,0OYCtl0lZeteFq2sIZbCHf,51.586,41,5,0,5,0.676,0.541,0.0337,0.0,0.335,-33.163,0.237,0.397,128.019
Freddie Freeloader - False Start,3NOweI7UeWPF9PzgEsiG78,85.853,41,5,0,4,0.652,0.607,0.0847,0.0158,0.39,-24.115,0.0363,0.667,63.956
Freddie Freeloader - Studio Sequence 2,3FdeddUjZryl1JW2DbzR0x,88.506,41,5,0,4,0.724,0.507,0.0624,0.304,0.551,-25.232,0.0314,0.645,128.513
So What - Studio Sequence 1,7aYP6U6rAhIzNx1DxDnBxv,114.106,41,9,0,5,0.793,0.34,0.0394,1.75e-06,0.685,-39.198,0.156,0.268,82.242
So What - Studio Sequence 2,7BcUaElEzhmBeeIRTN4xdW,11.653,0,2,1,0,0.835,0.0,0.00767,0.0077,0.101,-43.886,0.0,0.0,0.0
Blue in Green - Studio Sequence,4S0JzmCCQjaRjbPfIF6JV1,116.906,41,9,0,4,0.718,0.371,0.0123,0.000311,0.113,-35.068,0.0492,0.0366,100.609
Flamenco Sketches - Studio Sequence 1,745roqGwMrDnjNO1S3Q5ex,42.32,40,6,1,3,0.091,0.447,0.0294,0.0,0.064,-38.763,0.336,0.528,128.469
Flamenco Sketches - Studio Sequence 2,1p9HpuOBxEWQkD7UVJpj0b,69.72,40,4,0,4,0.0995,0.467,0.0048,4.08e-05,0.0633,-32.798,0.0399,0.084,54.314
All Blues - Studio Sequence,7FA0qrw667jTZR3wNcITQE,18.906,3,0,1,3,0.541,0.437,0.164,0.0206,0.169,-34.071,0.0584,0.365,138.277
On Green Dolphin Street,0tUq1zaYNoV6ZiYRU2bjqf,589.2,47,8,1,4,0.742,0.429,0.304,0.000674,0.175,-12.261,0.0436,0.361,75.075
Fran-Dance,6YCAJqpG0uSZSwidZODdjW,349.053,42,0,0,4,0.845,0.624,0.131,0.000362,0.0991,-14.532,0.0432,0.39,110.619
Stella By Starlight,4zxd4tiXPlWMqoJltbVTbE,284.56,58,10,1,4,0.912,0.485,0.144,0.000114,0.0965,-12.824,0.0362,0.246,86.143
Love For Sale,66vrjgMvWOLyeKBuMGA0Cz,707.253,41,5,0,4,0.698,0.655,0.441,4.51e-05,0.168,-10.355,0.0547,0.668,106.396
Fran-Dance - alternate take,4lcVPIWSWPB7F1emLGz1Tm,351.826,39,0,0,4,0.862,0.642,0.179,0.00748,0.0912,-13.597,0.0495,0.534,110.612
"So What - Live at Kurhaus, Den Haag, Holland - April 1960",1U7yJYYi8yTgRWkwoySwZz,1049.213,38,9,0,4,0.518,0.48,0.422,0.00568,0.553,-15.359,0.0408,0.629,131.555
