Introdução: Good Rockin' Tonight,0G5rrK8jwGXp9qiFsABtrQ,50.6,26,11,1,3,0.981,0.592,0.487,0.0,0.919,-12.075,0.544,0.793,86.631
Mosca Na Sopa,6AIViEVtYEhpvko7PDeIda,239.466,40,2,1,4,0.393,0.599,0.793,1.91e-05,0.238,-8.802,0.075,0.898,90.017
Metamorfose Ambulante,2Yk0HvfTaijA47aM0Fj88u,231.24,61,2,1,4,0.372,0.498,0.587,0.0,0.179,-8.324,0.0304,0.597,135.913
Dentadura Postiça,5i4f2fHCIDhxx5BPFBYWLr,91.026,34,6,1,4,0.32,0.535,0.775,0.0,0.0806,-7.827,0.0481,0.827,126.04
As Minas Do Rei Salomão,5jbeQPSdBwq6i2u9FBW2QY,143.106,46,7,1,3,0.392,0.439,0.731,0.0,0.0553,-6.438,0.17,0.838,198.003
A Hora Do Trem Passar,1oXxlKrIkSR7XiwAWrGlGC,110.773,33,6,1,4,0.675,0.275,0.305,0.0,0.188,-8.4,0.0363,0.546,82.016
Al Capone,5OC7GbXAbWXM1rvSpobLai,160.573,47,4,1,4,0.179,0.448,0.826,0.0,0.359,-4.921,0.0767,0.933,80.696
How Could I Know (Love Was To Go),2wpwd10Tagy9s18Na3CmH9,158.2,31,7,1,3,0.397,0.404,0.366,0.0,0.119,-9.698,0.0369,0.32,153.357
Rockixe,3mHDy8H5SmPk79Y5pLHUE7,225.893,45,9,1,4,0.253,0.545,0.761,0.0,0.161,-6.562,0.133,0.813,129.522
Cachorro-Urubú,1bx27RYvIv53YUSXqkKhRc,129.6,34,7,1,3,0.527,0.524,0.408,0.0,0.35,-6.595,0.0315,0.359,82.473
Ouro De Tolo,1j5i8qd1PkSQAGM5zyonJC,172.093,56,7,1,4,0.456,0.366,0.549,0.0,0.151,-8.914,0.0906,0.826,202.22
