Tribunal de rua,0ipjWegd1m7BL6lHahGrSx,261.066,41,7,1,4,0.371,0.488,0.745,7.68e-05,0.122,-9.22,0.287,0.686,166.723
Me deixa,2tBah0hzCdsafd4fNkjRaM,247.6,59,7,0,4,0.00826,0.635,0.836,5.72e-06,0.0624,-6.217,0.0517,0.336,118.187
Cristo e Oxalá,4ZUkfkJCrd1LWJDBOhnD6Q,266.066,37,4,0,4,0.0201,0.411,0.922,0.000521,0.186,-6.14,0.263,0.586,99.047
O que sobrou do céu,1A47ISHc08cBeIA3hifQXn,232.666,55,1,0,4,0.0889,0.374,0.946,0.0,0.167,-5.6,0.273,0.702,105.731
Se não avisar o bicho pega,36dArLaxEqT9m7mJeTNWwG,315.493,35,1,1,4,0.0927,0.718,0.893,0.142,0.0862,-7.0,0.0556,0.612,119.225
Minha alma (A paz que eu não quero),0lPWEt7kSY37pSUIH68ME0,303.773,64,9,0,4,0.363,0.664,0.725,1.39e-06,0.272,-6.179,0.0897,0.659,96.348
Lado B lado A,11iLxpjYxcq3aDqzqUcYy0,305.226,52,6,0,4,0.0187,0.752,0.827,1.32e-05,0.316,-6.536,0.0897,0.463,107.498
Favela,7fYnklTLFOO2DpQPnRbfgL,201.24,34,9,0,4,0.152,0.646,0.915,0.336,0.85,-6.464,0.163,0.623,110.139
Homem amarelo,03jLcSeyAIVEwX2aQm5GIt,256.933,39,4,0,4,0.426,0.464,0.871,0.000124,0.33,-4.766,0.222,0.785,151.033
Nó de fumaça,4AIogRYTO2NQi304vXpNET,225.0,33,1,0,4,0.0404,0.582,0.859,3.61e-06,0.0968,-7.258,0.163,0.587,100.204
A todas as comunidades do Engenho Novo,0uV81TSI60HGtG6bOETplO,378.2,36,6,0,4,0.232,0.681,0.615,0.00455,0.242,-8.25,0.113,0.931,149.936
Na palma da mão,1ND0dsRbTajawOHMknxUEF,424.4,32,7,1,4,0.00698,0.657,0.826,0.108,0.112,-7.185,0.0957,0.446,97.308
