Chain of Fools,2oZmMp5M6L0Rh7G84Um2tF,168.669,61,10,1,4,0.209,0.761,0.605,0.0,0.135,-9.899,0.0498,0.941,117.047
Money Won't Change You,0EqaoyLMibTK9EOmeKN0DB,128.499,30,10,1,4,0.293,0.734,0.557,0.000305,0.263,-9.196,0.0317,0.93,122.537
People Get Ready,4AB8I2iNcBMxgQKkeeIKIv,223.793,34,9,0,4,0.783,0.596,0.328,0.0,0.0515,-9.502,0.0348,0.387,126.359
Niki Hoeky,61lGw5yclg5rnyZUOkxZ8l,150.604,28,5,1,4,0.536,0.677,0.634,5.27e-06,0.232,-9.353,0.032,0.86,116.764
(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,166.812,69,0,1,3,0.213,0.65,0.323,0.0,0.187,-8.698,0.0283,0.276,110.962
(Sweet Sweet Baby) Since You've Been Gone,3lrSnngQqNWgvQmcFbCJCx,145.264,46,3,1,4,0.471,0.708,0.67,0.0314,0.0631,-8.142,0.029,0.94,117.149
Good to Me as I Am to You,6IGfFOpzovgM5EYFzSCAZO,238.05,33,7,1,3,0.627,0.537,0.449,8.18e-05,0.0443,-8.76,0.0405,0.44,120.447
Come Back Baby,3cyWykDWEIr32xDFpNiGY3,146.935,29,10,1,4,0.354,0.526,0.675,0.000366,0.0845,-8.695,0.0431,0.961,162.007
Groovin',1FjyfUBL7Dj1GpSxL1XLCQ,177.446,39,2,1,4,0.567,0.641,0.405,2.5e-05,0.101,-11.094,0.0255,0.538,91.33
Ain't No Way,0qgYfRBF5mSCPOdHdgus66,253.933,45,3,1,3,0.822,0.389,0.246,0.000202,0.105,-12.545,0.0311,0.26,135.641
Chain of Fools,6mXG9gssLzhnVWtq6UNu5J,262.153,31,1,1,4,0.632,0.688,0.547,6e-06,0.201,-8.442,0.062,0.556,117.852
(You Make Me Feel Like) A Natural Woman - Mono,1S8YOLgJKX5w4i4UhdbKzk,168.855,28,0,1,3,0.248,0.654,0.321,0.0,0.18,-8.656,0.0276,0.294,111.009
(Sweet Sweet Baby) Since You've Been Gone - Mono,1fQfd7oyrrcjsCA3qUnhKX,147.678,26,5,0,4,0.357,0.742,0.806,0.000374,0.0922,-5.373,0.0357,0.961,117.659
Ain't No Way - Mono,6p3iGqLGUxFES79KULUzFm,252.168,27,3,1,3,0.72,0.419,0.347,0.00314,0.122,-9.663,0.0294,0.217,136.188
