Wake Up Mr. West,62KeM7jbmYvzT5FycdiQeS,41.066,48,10,1,5,0.817,0.746,0.306,0.0,0.0657,-9.765,0.93,0.704,73.346
Heard 'Em Say,6yIjtVtnOBeC8SwdVHzAuF,203.733,63,7,0,4,0.0535,0.744,0.696,0.0454,0.128,-8.313,0.162,0.563,95.07
Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,236.6,68,9,1,1,0.0114,0.552,0.846,0.0,0.309,-4.912,0.342,0.554,98.56
Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,207.626,78,1,0,4,0.0195,0.629,0.696,0.0,0.0554,-5.572,0.348,0.623,93.034
Skit #1,164al00XRSLWG6h4hc12bD,33.573,46,10,1,3,0.467,0.825,0.307,0.0,0.146,-12.543,0.911,0.748,53.629
Drive Slow,6vB49BJ70zBpDrrAPwdaB8,272.226,58,11,1,1,0.0306,0.593,0.593,9.94e-06,0.229,-8.216,0.289,0.488,81.291
My Way Home,0TzIHqhAbvYR6qJKrMMFlk,103.373,50,8,1,4,0.33,0.593,0.596,0.0,0.0976,-10.488,0.0408,0.776,86.965
Crack Music,4fRTe59xEeNHT4uyAGsV27,270.866,51,11,0,5,0.00975,0.726,0.712,0.000477,0.345,-6.288,0.209,0.554,168.121
Roses,2DHNCWZYmVr1Lv08q5b0kB,245.866,56,3,0,4,0.259,0.723,0.465,2.7e-05,0.108,-6.454,0.0952,0.513,97.702
Bring Me Down,25K9cWrxNv991UYiOzBJqR,198.973,50,6,0,5,0.00592,0.385,0.691,0.0,0.595,-6.919,0.0924,0.352,111.278
Addiction,5VzeI5JM2y9t21JwrWAnkH,267.066,53,1,0,4,0.184,0.504,0.756,0.0,0.252,-8.318,0.185,0.55,115.264
Skit #2,466XcSgGAiQxcDrcV0yoMP,31.36,45,11,0,4,0.253,0.731,0.412,0.0,0.164,-11.59,0.946,0.95,66.512
Diamonds From Sierra Leone - Remix,34KUIBsIUiPV7oCIzSdDAU,233.4,57,7,1,4,0.258,0.672,0.814,0.0,0.164,-3.768,0.27,0.379,97.043
We Major,46fk9wjYcPm0sgym2b7EEE,448.0,54,11,0,4,0.0107,0.234,0.88,0.0,0.045,-3.66,0.123,0.216,85.641
Skit #3,2Xn5DIyAba7Fgyky3gU3rA,24.133,4,7,1,3,0.599,0.64,0.451,0.0,0.467,-11.984,0.956,0.6,166.546
Hey Mama,46OFHBw45fNi7QNjSetITR,305.066,61,7,1,4,0.0593,0.583,0.754,0.0,0.113,-6.993,0.223,0.347,95.784
Celebration,7jAxGkXU58FwNMjqoMahn7,198.44,50,10,1,4,0.0164,0.295,0.776,1.41e-06,0.118,-4.199,0.213,0.35,79.992
Skit #4,3zXhvJaLpxefYIxBE0cnB0,78.666,43,10,0,3,0.0411,0.722,0.258,0.0,0.148,-19.633,0.873,0.141,118.732
Gone,5RjbFGeWVsCpw8EcE8OrvZ,333.293,54,1,1,4,0.015,0.842,0.668,0.0,0.0699,-6.043,0.26,0.345,92.703
Diamonds From Sierra Leone - Bonus Track,4R5bSS8yoCl2czeWLr61aO,238.4,52,7,1,4,0.148,0.435,0.846,0.0,0.306,-3.458,0.263,0.57,100.771
Late,1mFHMzbaECWFaPfoePoEYl,230.493,50,10,0,4,0.197,0.334,0.843,3.95e-06,0.295,-5.928,0.173,0.616,75.281
