I Looked Away,2xNruEPnV3JHJ9qvHvcEF3,184.56,43,0,1,4,0.324,0.501,0.488,0.00113,0.165,-9.131,0.029,0.729,117.573
Bell Bottom Blues,2YJgM8lj4u5YEZRSHSfL60,301.72,55,2,1,4,0.587,0.404,0.695,0.0383,0.159,-6.162,0.034,0.646,133.136
Keep On Growing,6QwOmMMlQ9dlZlS12yFc2b,380.68,39,10,1,4,0.357,0.506,0.906,0.278,0.126,-6.309,0.0652,0.724,92.578
Nobody Knows You When You're Down And Out,0xvRoqvLmijll3D5qTnrRP,297.32,42,0,1,3,0.908,0.456,0.512,0.426,0.736,-8.454,0.0284,0.376,83.256
I Am Yours,1JedX5wEESMiktPb9DwqvH,215.093,35,7,1,4,0.426,0.681,0.307,0.433,0.217,-16.001,0.034,0.612,121.604
Anyday,1mXVgbMGX8YGBm5KNcMh4i,395.52,36,2,1,4,0.182,0.191,0.869,0.00179,0.184,-6.158,0.0539,0.741,168.702
Key To The Highway,1iDEGFxf1S2ZOy8xGF3dhJ,577.973,37,9,1,4,0.424,0.292,0.64,0.826,0.478,-7.153,0.0372,0.571,83.926
Tell The Truth,1w2fR7E6qOVDQGSFdYatbs,398.36,34,4,1,4,0.446,0.444,0.888,0.0549,0.102,-4.938,0.0567,0.589,104.454
Why Does Love Got To Be So Sad?,6S5DtyJNXTgHEXIVUToAPP,281.906,38,10,1,4,0.0983,0.378,0.963,9.59e-05,0.291,-4.909,0.171,0.298,125.507
Have You Ever Loved A Woman?,2ROJOb98GorxStuOuZWcGd,412.96,55,0,1,3,0.642,0.303,0.648,0.053,0.407,-6.795,0.0512,0.644,170.379
Little Wing,2Wq9vCNpcpJOhsZb1JvLhH,333.133,40,6,0,4,0.464,0.275,0.81,0.0125,0.36,-4.396,0.0424,0.607,133.729
It's Too Late,3z22I9KvX08FKIlLFQHj97,229.693,33,9,1,3,0.702,0.531,0.598,4.67e-06,0.395,-6.03,0.0324,0.751,111.397
Layla,2kkvB3RNRzwjFdGhaUA0tz,423.84,75,1,1,4,0.577,0.404,0.902,0.297,0.287,-3.88,0.0665,0.497,115.669
Thorn Tree In The Garden,6gZvsNkfeeEbN2shppEPto,170.866,35,11,0,4,0.931,0.631,0.119,0.0385,0.097,-20.17,0.0354,0.208,95.814
