Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,295.386,73,4,0,4,0.396,0.437,0.864,0.0314,0.242,-7.842,0.0904,0.749,81.394
Rock and Roll - Remaster,4PRGxHpCpF2yoOHYKQIEwD,220.56,68,9,1,4,0.000582,0.317,0.887,0.00258,0.0891,-7.292,0.0375,0.871,169.613
The Battle of Evermore - Remaster,6MSoJM9UIFHozmBCduQRje,351.677,48,4,0,4,0.656,0.42,0.662,0.000423,0.096,-9.828,0.0341,0.378,147.949
Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,482.83,78,9,0,4,0.58,0.338,0.34,0.0032,0.116,-12.049,0.0339,0.197,82.433
Misty Mountain Hop - Remaster,5NnZ4JJxWiqqhYNu3rwmFj,278.907,52,2,1,4,0.379,0.47,0.806,0.0624,0.86,-7.165,0.0369,0.787,132.359
Four Sticks - Remaster,4Sc5qEOSFI5rfS9IDyu0GO,285.227,46,2,1,1,0.174,0.507,0.837,0.814,0.0906,-10.465,0.0624,0.318,107.013
Going to California - Remaster,70gbuMqwNBE2Y5rkQJE9By,212.16,68,2,1,4,0.943,0.503,0.265,0.045,0.0867,-15.913,0.0333,0.522,78.044
When the Levee Breaks - Remaster,05f8Hg3RSfiPSCBQOtxl3i,428.851,63,5,1,4,0.00217,0.271,0.766,0.52,0.0707,-8.03,0.0329,0.803,142.914
Black Dog - Basic Track with Guitar Overdubs,59Zl5fFDhkGhFv0TGeyqbv,274.64,43,2,1,4,0.291,0.418,0.656,0.0119,0.113,-9.908,0.0522,0.661,80.871
Rock and Roll - Alternate Mix,35a7EjRYYLLyH4prB1zExl,219.68,42,9,1,4,0.00258,0.341,0.952,0.00318,0.0995,-7.045,0.0497,0.714,169.925
The Battle of Evermore - Mandolin / Guitar Mix from Headley Grange,3gyroWpKKzkVkOhLJ57Tv5,253.373,41,7,1,4,0.74,0.491,0.477,0.905,0.118,-15.987,0.0633,0.683,146.38
Stairway to Heaven - Sunset Sound Mix,7llNWna9CEKr88Ng4vAwiI,483.666,43,7,1,4,0.656,0.316,0.298,0.00337,0.174,-13.803,0.0423,0.3,81.993
Misty Mountain Hop - Alternate Mix,05BTaDBhGylMDjupCczCwC,285.053,53,2,1,4,0.0763,0.488,0.892,0.486,0.266,-7.131,0.0496,0.675,132.554
Four Sticks - Alternate Mix,4Y4xWuvM7MKGKxECXfnKtV,273.106,38,2,1,3,0.023,0.49,0.924,0.622,0.299,-6.959,0.0658,0.326,106.87
Going to California - Mandolin / Guitar Mix,7s2HYAN8PSba9OGqgTL7mo,214.226,42,2,1,4,0.949,0.502,0.263,0.726,0.0887,-18.419,0.0385,0.576,77.891
When the Levee Breaks - Alternate UK Mix in Progress,1zLAyTaKUdiZSmOifuu2kv,430.826,41,5,1,4,0.0116,0.276,0.826,0.22,0.0916,-6.248,0.0358,0.797,142.345
