Let's Get It On,0jHkgTtTaqg5LNCiYDQPUB,290.96,60,3,1,4,0.0392,0.55,0.611,0.0,0.0631,-10.657,0.0443,0.626,168.512
Please Stay (Once You Go Away),620eVW0fATLrqXLkXMYiN6,210.04,28,1,1,4,0.277,0.416,0.629,2.37e-06,0.0799,-10.672,0.0422,0.83,167.161
If I Should Die Tonight,6jx01n64gCghnHOXwTZMvC,239.8,31,1,1,4,0.805,0.45,0.33,5.77e-05,0.117,-12.883,0.0328,0.338,137.972
Keep Gettin' It On,4HCKl05ZpdAyijz1pCLQAm,190.706,29,3,1,4,0.248,0.533,0.583,8.31e-06,0.311,-11.841,0.0576,0.654,169.333
Come Get To This,60vhXALOWMazkklrIgbB5C,161.36,33,0,1,4,0.174,0.654,0.579,3.39e-06,0.288,-9.454,0.0349,0.644,114.798
Distant Lover,5Xt3RUiOkiH2pGYtMTVeNS,255.986,49,4,1,3,0.383,0.474,0.35,0.000305,0.057,-12.973,0.0266,0.527,141.906
You Sure Love To Ball,4hP5QCyKWJqB9YfjE3T2Ug,284.28,29,0,1,4,0.304,0.471,0.461,0.000199,0.244,-14.936,0.0349,0.788,84.361
Just To Keep You Satisfied,3I146zX9C45E4BiDc7Bfts,264.786,40,3,1,5,0.646,0.275,0.226,1.29e-05,0.14,-16.162,0.0363,0.156,81.55
Let's Get It On - Single Version,101CzL9V7HGxsrbtEd2YJC,242.093,42,3,1,4,0.269,0.492,0.639,0.0,0.037,-9.854,0.0797,0.654,167.711
You Sure Love To Ball - Single Edit,5xowCAtPvwQWpLggyBWdmx,214.773,19,0,1,4,0.53,0.338,0.469,0.000424,0.224,-16.155,0.0359,0.752,83.923
