Rhymin & Stealin,6yKldTTcSa2BdpKPEtdYp3,248.4,49,5,1,4,0.0361,0.513,0.964,2.91e-06,0.0972,-5.773,0.103,0.348,152.209
The New Style,0Mu1MYdE414HeybYSms5KK,275.546,51,6,0,4,0.0282,0.583,0.791,0.0,0.272,-7.191,0.45,0.685,98.673
She's Crafty,2dbFLEQojkH0Z7xBL7uvMl,215.133,48,6,1,4,0.0135,0.811,0.851,8.13e-06,0.0731,-7.174,0.17,0.699,96.761
Posse In Effect,478mMi69Mnt72YtdgiTorO,146.413,44,6,1,4,0.0271,0.666,0.912,0.0,0.24,-8.489,0.445,0.818,171.732
Slow Ride,0eWP2sADBFG1hTrwJYfmMp,176.76,45,4,0,4,0.00754,0.714,0.601,0.000322,0.0915,-9.459,0.302,0.415,193.527
Girls,5h40ovzXu7rF7Giwb9oXYy,132.706,58,0,0,4,0.777,0.873,0.808,0.0,0.357,-6.729,0.0466,0.933,139.676
Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,208.653,69,8,1,5,0.00757,0.503,0.858,0.00234,0.0803,-6.296,0.0657,0.419,133.615
No Sleep Till Brooklyn,5qxChyzKLEyoPJ5qGrdurN,246.933,67,8,1,4,0.122,0.712,0.691,0.0,0.0538,-8.157,0.128,0.742,97.022
Paul Revere,3gKwVWwKmeuFtPubICbOGc,220.84,59,6,0,4,0.0161,0.883,0.553,0.0,0.228,-13.232,0.944,0.578,91.753
"Hold It Now, Hit It",3C8xkK4Cir2QmiaN07GIZs,206.213,48,6,0,4,0.0123,0.791,0.738,0.0,0.351,-8.768,0.355,0.891,95.3
Brass Monkey,2tY1gxCKslfXLFpFofYmJQ,157.44,63,6,0,4,0.00203,0.914,0.586,1.58e-06,0.0992,-8.435,0.33,0.655,116.371
Slow And Low,3vull6iBmoDFACC8TRVabm,218.066,45,4,0,4,0.0406,0.665,0.615,0.0,0.92,-9.245,0.395,0.692,168.76
Time To Get Ill,1WJg8vRU9O799Sp9f77TDG,219.573,45,6,0,4,0.00136,0.874,0.608,2.03e-05,0.331,-9.763,0.333,0.392,97.806
