Life After Death - 2014 Remaster,1ZwfLPG0QcFkhE0jKPDhZU,99.2,43,11,0,4,0.756,0.349,0.623,0.0,0.433,-5.214,0.0881,0.248,85.745
Somebody's Gotta Die - 2014 Remaster,11s9e5nZrTXzdDTguBFtou,266.733,49,8,1,4,0.241,0.488,0.905,0.0,0.305,-4.21,0.334,0.674,82.385
Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,229.826,77,9,1,4,0.145,0.901,0.697,0.0,0.287,-3.439,0.28,0.67,93.941
Kick in the Door - 2014 Remaster,0ed6evAMZvewGh4UI9KkVU,286.186,55,6,1,4,0.103,0.62,0.854,0.0,0.402,-5.578,0.628,0.671,179.801
Fuck You Tonight (feat. R. Kelly) - 2014 Remaster,1ry9AyQVzzK2iDt6vMY2ku,345.466,50,5,0,4,0.18,0.578,0.57,0.0,0.0632,-4.982,0.242,0.716,177.772
Last Day (feat. The Lox) - 2014 Remaster,0iIZ1fqdUIfcE8CIndhlDD,259.666,46,4,0,4,0.0145,0.738,0.867,0.0,0.111,-5.298,0.386,0.355,93.706
I Love The Dough (feat. Jay-Z & Angela Winbush) - 2014 Remaster,2Uvwc7D5rhphlzfBDnpYpU,311.533,54,6,1,4,0.178,0.774,0.776,0.0,0.283,-5.331,0.304,0.654,99.071
What's Beef? - 2014 Remaster,0S736hkRjkdmuvbZuvx1sh,315.36,52,9,1,3,0.0526,0.698,0.694,4.73e-06,0.314,-4.88,0.198,0.615,154.845
B.I.G. (Interlude) - 2014 Remaster,3DzmXojNacImcQ2uIM1wQS,48.133,41,7,1,4,0.574,0.592,0.993,0.000142,0.627,-5.129,0.491,0.321,99.608
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,257.399,73,6,0,4,0.0128,0.845,0.884,2.1e-06,0.203,-4.506,0.0759,0.904,104.536
Niggas Bleed - 2014 Remaster,15LVUC45FiKlBp0wkmJkcv,291.04,52,1,1,4,0.354,0.541,0.847,0.0,0.231,-3.386,0.264,0.546,83.778
I Got a Story to Tell - 2014 Remaster,7zfmhBiUvGoHz76NO1d5bZ,283.053,55,1,1,4,0.227,0.88,0.813,0.013,0.0581,-5.589,0.269,0.603,94.071
Notorious Thugs - 2014 Remaster,19FsxX4RthRMZGfXkImdCb,366.88,66,11,0,4,0.121,0.704,0.873,5.12e-06,0.24,-4.057,0.144,0.742,154.914
Miss U - 2014 Remaster,612lE4c57zWDOqeWca1Pmf,299.333,49,7,1,4,0.215,0.738,0.545,2.43e-05,0.279,-6.153,0.281,0.541,172.077
Another (feat. Lil' Kim) - 2014 Remaster,1eQNHLMYtDFuC58a5Z3bIN,255.306,45,2,1,4,0.00993,0.954,0.639,0.0,0.0754,-5.02,0.0956,0.653,112.08
Going Back to Cali - 2014 Remaster,53duuSwaLOZuIrELvZXqLH,307.426,59,9,1,4,0.207,0.851,0.647,0.0,0.0447,-5.847,0.339,0.596,99.17
Ten Crack Commandments - 2014 Remaster,1Z7C8ClE8UEaH70jCCeJH2,204.026,62,1,1,4,0.0393,0.612,0.85,0.0,0.255,-4.703,0.5,0.781,173.497
Playa Hater - 2014 Remaster,2Wl2S9Fmjg2GFCu8qtwyi0,237.933,44,4,0,4,0.0538,0.501,0.717,0.0,0.121,-6.811,0.0334,0.253,127.194
Nasty Boy - 2014 Remaster,1Old7SPJD1Ykzb4w1IXY51,333.84,44,7,1,4,0.133,0.883,0.831,0.0,0.242,-4.89,0.195,0.695,106.28
Sky's the Limit (feat. 112) - 2014 Remaster,0xdYzkbBBfTevSyOJqWUSX,329.426,61,0,1,4,0.217,0.637,0.66,0.0,0.09,-4.792,0.162,0.503,90.876
The World Is Filled... (feat. Too Short & Puff Daddy) - 2014 Remaster,3cRvZp3CEbVKMSVaaCZL83,294.8,47,6,1,4,0.0279,0.82,0.715,0.0,0.149,-4.1,0.287,0.844,86.054
My Downfall (feat. DMC) - 2014 Remaster,30pqIwsiYrnPt6a9lUK9M4,326.733,43,11,0,4,0.188,0.458,0.824,0.0,0.112,-4.224,0.519,0.499,86.331
Long Kiss Goodnight - 2014 Remaster,2fw0DgUc8GTNxZ2BAv9Fih,318.466,48,7,1,4,0.0962,0.479,0.892,0.0,0.373,-4.952,0.428,0.348,171.397
You're Nobody (Til Somebody Kills You) - 2014 Remaster,5elwGhYsxqm09XbHvFyWcw,292.933,50,7,0,4,0.159,0.626,0.842,1.93e-05,0.0945,-5.032,0.279,0.624,84.657
